idx,in_reviewed_corpus,title,OD_conditioned,OD_quote,generalization_mechanism,gen_quote,predictive_representation,pred_quote,reward_temporality,rt_quote,reward_alignment,align_quote,compliance_stated,comp_quote,action_feasibility_constraint,actfeas_quote,algorithm_family,source,boundary_condition,boundary_quote,trip_completion_reported,tc_quote,code_release,code_quote,access_note,algorithm_family_coarse,action_granularity,actgran_quote,state_representation,staterep_quote
30,yes,Dynamic urban traffic rerouting with fog-cloud reinforcement learning,no,"The agent assesses its current state and makes policy-guided decisions in a state space with two distinct components: (1) Xt indicates fog node characteristics at time step t, (2) At represents physical adjacency feature at time step t.",none,,none,"our proposed framework could be further fortified by incorporating other rerouting considerations, such as proactiveness, predictive capabilities, personalized considerations, driver response to information, and consistent anticipatory route guidance that were introduced by pioneers in the field of rerouting.",step-wise,"RVs operating at sluggish speeds (below 11 mph) are suggestive of severe congestion within the region in question. In response, the proposed model levies a penalty to account for this unfavorable situation. Conversely, RVs operating at speeds exceeding the threshold of 11 mph, are indicative of successful rerouting and optimal assignment of routes by the model, resulting in an improved traffic flow at the region in question.",system,"The reward calculation was derived from the collective average speed of the RVs within specific regions, with a focus on the regional level rather than the individual link level.",partial-modeled,"The first class, termed rerouting vehicles (RVs), can receive information through connectivity and follow instructions accordingly. The second class, termed background vehicles (BVs), does not have access to this information and cannot be rerouted.",enforced,"the K shortest alternative routes ps = 1,..,K are generated based on the road weights Wr, and a set {kSP}m is formed to store these routes.",GAQ: Graph Attention Q-Network (DQN-based),full-text,boundary-open-addressed,"RVs enter the network via three roads on the right of the network, with two destinations on the left of the network (one from the bottom and the other from the middle).",reported,"if the simulation extends beyond the 2000 time units, it indicates that rerouted vehicles are unable to complete their journeys, resulting in an average travel speed of approximately 0 m/s. This situation is referred to as 'severe congestion' within the simulation framework.",not-stated,,"full-text (re-coded, all 10 fields)",DQN-family,other,the K shortest alternative routes are generated based on the road weights Wr [fog agents act on road indices; EBkSP assigns paths],graph-encoder,integrates graph attention Q network (GAQ) with entropy-balanced k shortest path (EBkSP)
31,yes,A Deep Reinforcement Learning Framework for Real-Time Vehicle Routing with Dynamic Traffic Conditions,no,"s(t) = {e(t), tslot(t), tnorm(t)}",other,Post-training evaluations were conducted using unseen traffic data sampled from historical TomTom patterns...ensuring that the agent's generalization capability was tested under realistic but new conditions,local-prediction,"The agent observes the current traffic slot and normalized time, allowing it to adapt its routing policy to temporal variations in traffic...exhibiting anticipatory behavior regarding future congestion along the route",step-wise,"rtraffic(t) = -delta*vehicle_count if vehicle_count >= theta, otherwise 0; rshortest(t) based on d(t) <= d(t-1)",individual,The agent aims to find the shortest route toward the destination while avoiding congested roads,implicit-100%,"the transition from state s(t) to next state s' = s(t+1) depends on the action a(t), which determines the next edge e(t+1)",not-enforced,"rinvalid(t) = -mu, if e(t) not in [outEdgesList]",PPO (Actor-Critic),full-text,not-addressed,,not-reported,,not-stated,,full-text,Policy-gradient-AC,next-link,A (Action space): representing the set of possible outgoing edges (roads) that the vehicle can choose from at its current location,raw-vector,"S (State space): encodes the current location of the vehicle, the current traffic slot, and the normalized time slot"
32,yes,Adaptive Reinforcement Learning Framework for Environmentally Sustainable Route Optimization,no,"St = [vt, rho_t, rt, wt, et]",unclear,,none,Rt = alpha*DeltaEt + beta*Ft - gamma*Tt,step-wise,Rt = alpha . DeltaEt + beta . Ft - gamma . Tt,individual,The reward function incentivizes actions that reduce environmental impact while maintaining efficiency,implicit-100%,,unclear,"Selecting between alternative routes A = {a1, a2, ..., an}; Adjusting speed; Dynamic rerouting based on changing conditions",PPO,full-text,not-addressed,,not-reported,,not-stated,,full-text,Policy-gradient-AC,candidate-path,"The possible actions are: Selecting between alternative routes A = {a1, a2, ..., an}; Adjusting speed; Dynamic rerouting",raw-vector,The state space represents all possible conditions affecting the routing decisions. It is modeled as a multidimensional vector
33,yes,Deep Q-Learning-based Route Optimization for Traffic Network,unclear,"The agent receives state input from SUMO such as vehicle speed, delay and responds by rerouting vehicles to minimize travel time",none,,none,,step-wise,"After rerouting a vehicle, the agent receives a reward and updates its policy through Q-Learning...The reward function is designed to penalize delays and promote actions that reduce travel time and congestion",mixed,The reward function is designed to penalize delays and promote actions that reduce travel time and congestion,implicit-100%,,unclear,,DQN (Deep Q-Learning),full-text,not-addressed,,not-reported,,not-stated,,full-text,DQN-family,unclear,,raw-vector,"The agent receives state input from SUMO such as vehicle speed, delay and responds by rerouting vehicles"
34,yes,Urban Multiple Route Planning Model Using Dynamic Programming in Reinforcement Learning,yes,"the distance between the current state and the destination and the distance between the next possible state and the destination, TCI, road length, and other factors are taken into account",none,,none,,step-wise,"In this way, at each learning step, the agent obtains a reward or penalty, which accelerates the learning process.",individual,"The reward function decides the instant feedback to every chosen action and serves to guide the agent to the destination, similar to the labelling of samples in supervised learning.",implicit-100%,,enforced,"In every state, the vehicle has several (normally no more than 6) driving directions, namely, action a, to choose from. Each direction can lead the vehicle to another state... it is always 100% under the route planning context, since when a driving direction is selected, the vehicle will be led to the specific intersection, not others.","model-based RL / Dynamic Programming (policy iteration, not deep neural network)",full-text,not-addressed,,not-reported,,not-stated,,"full-text (re-coded, all 10 fields)",Model-based-Hybrid,next-link,"In every state, the vehicle has several (normally no more than 6) driving directions, namely, action a, to choose from",raw-vector,the Q values of every crossing in different directions are recorded [tabular policy iteration]
36,yes,Providing real-time en-route suggestions to CAVs for congestion mitigation: A two-way deep reinforcement learning approach,yes,"Given an OD pair w in W, the set of decision nodes Dw is fixed... we designed separate but virtually connected sub-networks for each decision node given an OD pair.",none,,none,"the environment state s in S is the traffic condition. Specifically, we use the travel time of each link to represent the state.",step-wise,"After taking an action at a decision node at time step t in T, the CAV travels on the subsequent links until it reaches the next decision node at time t' in T. At the new decision node, the CAV will receive a reward r in R that is associated with the travel time it took from the last decision node.",mixed,"CAVs conduct real-time learning to minimize their individual travel time, while the information provider offers real-time route suggestions aiming to minimize the system's total travel time.",explicit,"we do not enforce CAVs to follow the suggestions. Instead, they are intelligent agents that conduct learning. Therefore, the additional reward aimed at encouraging CAVs to follow the suggestions is needed to help meet the premise of CE.",enforced,"the CAV chooses a subsequent link a to travel from its action set An,w, which contains all the available links it can take at the decision node n in Dw.","custom two-way DRL: Markov game for CAV agents + single-agent MDP for information provider, with Correlated Equilibrium formulation",full-text,not-addressed,,not-reported,,not-stated,,"full-text (re-coded, all 10 fields)",MARL,next-link,"the CAV chooses a subsequent link a to travel from its action set An,w, which contains all the available links",raw-vector,Each CAV is an intelligent agent making individual en-route choices according to its observed traffic condition
37,yes,Real-time system optimal traffic routing under uncertainties - Can physics models boost reinforcement learning?,no,,none,"TransRL, PPO, and SAC were trained on all three scenarios with the same observation definition, action definition, and reward function.",none,,step-wise,the number of leaving/finished vehicles at the end of time interval t,system,The objective of the control algorithm is to minimize the total expected travel time of all vehicles within the transportation network.,implicit-100%,A small portion of vehicles are assumed to follow routing guidances by a centralized control algorithm,enforced,,"TransRL: physics-model-guided actor-critic RL distilled from a deterministic teacher policy, benchmarked against PPO and SAC",full-text,boundary-open-addressed,"An alternative and more practical way is to use the number of vehicles leaving the controlled road network during each time interval, which can be retrieved by monitoring the periphery of the controlled road network.",not-reported,,not-stated,,"full-text (re-coded, all 10 fields)",Policy-gradient-AC,other,System optimal traffic routing can mitigate congestion by assigning routes for a portion of vehicles ... TransRL can be trained in continuous state space and action space,raw-vector,"sensors collect real-time speeds and flows and send the averages during the last time interval at the beginning of the current time interval. Then, the control algorithm takes these real-time data (i.e., observations) as input"
38,yes,Network-Constrained Policy Optimization for Adaptive Multi-agent Vehicle Routing,yes,"State of query q, sq. The state of a query q is defined as the unique representation of its destination intersection, denoted as [q-id]; Destination Hub Embedding Emb(hd): The Z-order embedding of the vehicle's destination hub hd; Distance to Destination: The normalized static network distance from hj to the destination hub hd",none,,local-prediction,"Hub agents use flow-aware state features that combine local congestion and predictive dynamics for proactive routing; Estimated Travel Time: A normalized estimate of travel time from hk to neighbor hj, reflecting real-time conditions; Vicinity Speed: This radius captures approaching and departing traffic, providing predictive insights into potential congestion",step-wise,"The reward is defined as the negative time difference between consecutive queries in the vehicle's path: DeltaT = (q'-t) - (q-t), r(a(s_tau_q)) = -DeltaT",mixed,r(a(s_tau_q)) = -DeltaT (base per-vehicle segment-time reward); The use of a global reward and state ensures that agents are incentivized to learn collaborative policies that improve overall traffic flow rather than only optimizing local metrics.,implicit-100%,The router q.u... responds to q with a routing decision,enforced,"A road rk is considered connected to r if the intersection's traffic rules allow travel from r to rk (e.g., no U-turns or prohibited turns)","Hierarchical MARL: decentralized intersection agents (Adaptive Navigation) with GAT, extended by Hierarchical Hub-based Adaptive Navigation using CTDE/Attentive Q-Mixing (A-QMIX)",full-text,boundary-open-addressed,A canonical Manhattan-style grid network consisting of 30 intersections and 98 edges. The 26 non-perimeter intersections are controlled by routing agents.,reported,"RSR: RSR = |Vcompleted| / |Vtotal| x 100%; Routing Success Rate (RSR), defined as the percentage of vehicles that successfully reach their destination within the simulated period; All AN models consistently achieved a 100% RSR",released,The code for this research is publicly available at https://github.com/Arianhgh/HHAN,"full-text (re-coded, all 10 fields)",MARL,next-link,The action is the selection of an outgoing road segment from the intersection,graph-encoder,neighborhood state modeled using Graph Attention Networks (GAT)
39,yes,A Data-Driven Reinforcement Learning Based Multi-Objective Route Recommendation System,yes,"the agent creates a reward table based on the road network graph (i.e., G = (N,E)), destination node nd, and the given user's preference",none,one Q-value table is created for the present combination of the road network graph and given user preferences,local-prediction,"we utilize the existing predictors for air quality, travel time, and fuel consumption estimations to update the road network graph periodically",predicted,"we combine the given user preference and all predicted values of travel time, fuel consumption, and air quality of the edge",individual,"considering the given user's preference for travel time, fuel consumption, and air quality",implicit-100%,the proposed system chooses the edge corresponding to the maximum Q-value from all possible edges,enforced,"the agent considers all possible edges ({ei,l, ei,m, ...ei,u}) from the current node (ni)",Tabular Q-learning (Watkins & Dayan) with per-destination reward/Q-value adjacency-matrix tables,full-text,not-addressed,,not-reported,,not-stated,,full-text,Tabular-Q-Sarsa,next-link,an action is to choose one of the adjacent edges of the current node,raw-vector,"the state space represents the finite set of edges and nodes G = (N, E) [tabular Q-value table]"
40,yes,Emergency vehicle rescue route optimization based on deep reinforcement learning in highway network,unclear,N/A (abstract does not describe state representation),unclear,N/A (abstract does not describe generalization mechanism),unclear,N/A (abstract does not describe predictive state representation),step-wise,"road network nodes are prioritized based on the spatial transfer scale, and a corresponding reward scheme is designed",individual,this paper proposes a deep reinforcement learning-based method to optimize the rescue routes of EVs on the highway,unclear,N/A (abstract does not describe compliance modeling),action-masking,the action masking technique is applied to reduce the dimension of the action space during the decision-making of the agent,"DRL (specific algorithm unnamed in abstract), combined with action masking",abstract-only (no PDF available),unclear,,unclear,,unclear,,abstract-only,Unspecified,unclear,,unclear,
41,yes,Autonomous Vehicle Routing Optimization in a Competitive Environment: A Reinforcement Learning Application,yes,there are 50 agents whose destination is randomly assigned to one of the destination nodes,none,"This paper considered two different network sizes, three by three and six by six, to reduce the amount of computational needs",none,"Each intersection is known as a state. For the Scenario, possible actions are D and R",step-wise,reward of each state is based on the time to get to that state from previous states,individual,"when all of the agents are trying to maximize their utility, and if the intelligent agents have conflicted interests",implicit-100%,intelligent agents are connected to the controller that can provide them with the shortest path,enforced,"an agent cannot move outside the network. Also, an agent cannot pass its destination vertically",Tabular Q-learning (Watkins & Dayan) with reverse-order Q-matrix updates,full-text,boundary-open-addressed,an agent cannot move outside the network,not-reported,,not-stated,,full-text,Tabular-Q-Sarsa,next-link,"an agent cannot move outside the network. Also, an agent cannot pass its destination vertically [grid-network moves]",raw-vector,Start with all zeros initial Q Matrix ... the rewards of each state were used to update the Q matrix
42,yes,Multi-objective route recommendation method based on Q-learning algorithm,yes,"the given user preference and all predicted values of the road segment (travel time, safety, and COVID-19 risk) are combined, and the direct distance between the current node vi and destination node vend (i.e., Euclidean distance) is considered to ensure that the vehicle drives to the destination as quickly as possible",none,"In this study, 20 source-destination node pairs were randomly selected from the New York City road network for the multi-objective route recommendation experiment",rollout-capable,"Each edge ei,j has three different attribute values, which are stored in the form of [wtti,j, wssi,j, wcci,j], representing the predicted value of the traffic time, safety risk index, and COVID-19 risk index under the given user preference Wp = [wt, ws, wc].",predicted,"ri,j <- -(wtti,j + wssi,j + wcci,j), representing the predicted value of the traffic time, safety risk index, and COVID-19 risk index",individual,the direct distance between the current node vi and destination node vend...is considered to ensure that the vehicle drives to the destination as quickly as possible,implicit-100%,,enforced,"The action space defines the set of actions (agent selects an edge) that can be selected by the agent in the current state, that is, given node vi; If nodes vi and vj are not connected, that is, eij not in E, the reward is -infinity, which indicates that there is no edge.",Tabular Q-learning with dynamic exploration factor and initialized value function,full-text,not-addressed,,not-reported,,not-stated,,"full-text (re-coded, all 10 fields)",Tabular-Q-Sarsa,next-link,The action space defines the set of actions (agent selects an edge) that can be selected by the agent in the current state,raw-vector,the state space is a set of road network environments composed of finite edges and nodes [tabular Q-value table]
43,yes,Agent-Based Route Planning with Deep Q Learning,yes,two coordinate data for the position information of the target point,none,"In the SUMO simulation environment, 12 interconnected roads are created. All roads in the system have 4 lanes",none,"three status information expressing the vehicle congestion on the neighboring roads, two coordinate status information indicating the location",step-wise,"The cumulative reward, on the other hand, proceeds by adding the reward value after each decision region",individual,The agent expects to take the waiting passenger to the desired location in the fastest way possible,implicit-100%,"In cases where the agent does not have the right to explore, it takes the action corresponding to the largest Q value",enforced,the agent is not free to select all the elements of the action space when it comes to such intersections,"Deep Q-Network (4-layer neural network, epsilon-greedy exploration)",full-text,not-addressed,,not-reported,,not-stated,,full-text,DQN-family,next-link,"There are three basic actions that the taxi agent must decide on at each intersection ... turn right, go straight and turn left",raw-vector,the necessary information for the taxi agent to make sense of the environment and choose an action is expressed with state vectors
46,yes,Optimizing Traffic Routes With Enhanced Double Q-Learning,no,"road edge IDs represent the state 𝑠, the action 𝑎corresponds to route choices at junctions, and the reward 𝑅indicates the efficacy of the actions in reducing travel time and congestion",none,,none,,predicted,we calculate MWT (an average delay that vehicles experience due to traffic jams or traffic stoppages at the intersection) a-priori on a particular road edge using a calibrated traffic simulation model,individual,+100 Upon successful arrival at the destination,implicit-100%,,unclear,,"Double Q-Learning enhanced with Prioritized Experience Replay (DQL-PER), compared to Q-learning, DQL, and DQN",full-text,not-addressed,,not-reported,,not-stated,,"full-text (re-coded, all 10 fields)",DQN-family,next-link,"road edge IDs represent the state s, the action a corresponds to route choices at junctions",raw-vector,road edge IDs represent the state s [tabular Q-table over edges]
47,yes,Multi-agent deep reinforcement learning based on cloud-edge computing for urban vehicle route guidance,yes,"it sends a routing request, including at least the destination information, to the corresponding intersection agent for receiving route guidance decisions",none,,none,,step-wise,the reward is defined as the negative value of the time duration during which each vehicle travels from entering one decision area at the intersection where the agent i is located to entering the subsequent decision area in accordance with the selected action,individual,the reward is defined as the negative value of the time duration during which each vehicle travels from entering one decision area at the intersection where the agent i is located to entering the subsequent decision area in accordance with the selected action,implicit-100%,,enforced,action ai t is defined as a finite set of all outgoing road segments that the incoming vehicle can be selected at each intersection,Multi-agent deep reinforcement learning based on cloud-edge computing for urban vehicle route guidance (title only; algorithm family stated as multi-agent DRL),full-text,not-addressed,,not-reported,,not-stated,,"full-text (re-coded, all 10 fields)",MARL,next-link,action ai t is defined as a finite set of all outgoing road segments that the incoming vehicle can be selected at each intersection,graph-encoder,integrating Graph Convolutional Network (GCN) and Gated Recurrent Unit network (GRU) with an attention mechanism ... Graph Attention Network (GAT)
48,yes,Meta-deep q-learning for eco-routing,no,"The agent considers the intersection at the bottom-left corner as the origin, and the intersection at the top-right corner as the destination",meta-RL,Meta-learning can help the model adapt to a new traffic environment quickly...it is expected to further generalize the model on meta-level learner,none,"The state space is defined as S = {(u, v, r_v, t_v)}...r_v is the traffic signal status flag...t_v is the arrival time when the vehicle arrives at intersection v",realized,Each link-based cost is obtained by averaging the costs of all the vehicles that drive through the link over a short period of time,individual,drivers' different preferences on saving travel time and fuel consumption,implicit-100%,The vehicle that requests eco-routing service downloads the model from the remote data center...applied to the concerned vehicle for its eco-routing,enforced,"consists of 16 signalized intersections, 18 two-way links, and 6 one-way links",DQN (multi-objective meta-deep Q-learning / MOM-DQL),full-text,not-addressed,,not-reported,,not-stated,,full-text,DQN-family,next-link,"the action set is defined as A = {straight, left, right}",raw-vector,The state should contain enough useful information about eco-routing. The state space is defined as [current intersection and time]
49,yes,Sharing diverse information gets driver agents to learn faster: an application in en route trip building,no,"Nodes n ∈N are seen as states the agents might be in, and the outgoing edges of a node n are the possible actions for that given state.",none,,none,,step-wise,"Assuming that the simulator reports a travel time of tv e for agent v traveling on edge e, the reward is −tv e",individual,"Assuming that the simulator reports a travel time of tv e for agent v traveling on edge e, the reward is −tv e",implicit-100%,,enforced,"Nodes n ∈N are seen as states the agents might be in, and the outgoing edges of a node n are the possible actions for that given state.",MARL tabular Q-learning with C2I communication augmentation,full-text,not-addressed,,not-reported,,released,Code is available at GitHub: https://github.com/guidytz/SUMO-QL.,"full-text (re-coded, all 10 fields)",MARL,next-link,"Nodes n in N are seen as states the agents might be in, and the outgoing edges of a node n are the possible actions",raw-vector,Nodes n in N are seen as states the agents might be in [tabular Q]
50,yes,Regional route guidance with realistic compliance patterns: Application of deep reinforcement learning and MPC,yes,"the current location of each vehicle, the destination region of each vehicle",none,,none,,step-wise,travel cost and difference rewards are designed to solve the problem for both user-oriented and system-utility purposes ... A large stay penalty can guide agent to complete its trip as soon as possible,mixed,"three reward functions are designed for the regional RG, i.e., user-oriented RG for minimizing private travel costs of road users, system-utility RG for maximizing traffic throughput in the entire network, and a balance reward",partial-modeled,"will be justified to be controllable or not before departing, according to an average compliance ratio phi in [0, 1]",enforced,each agent's action space is discrete and limited by the maximum number of allowable outbound links,"Multi-agent deep Q-learning (CTDE, double Q-learning), compared against MPC-based schemes",full-text,boundary-open-addressed,the current inflow state denotes the vehicles entered into the network during the last time step,not-reported,,not-stated,,full-text (acquired 2026-07-07 cycle),MARL,next-link,each agent's action space is discrete and limited by the maximum number of allowable outbound links,raw-vector,The zipped data is used as the input of the routing algorithms for the vehicle's route selection
51,yes,A multiagent reinforcement learning approach to en-route trip building,no,"the environment is a road network G, where nodes are the set of states an agent may be in, and the edges departing from each node are the set of actions an agent may take",none,,none,,unclear,,individual,"Agents learn their routes by deciding, at each node, how to continue their trips to each one's destination ... the agent is trying to make a series of decisions in order to minimize travel time in the whole route",implicit-100%,"individual drivers are considered as active and autonomous agents, which, instead of having a central entity assigning complete trips to each agent, build these trips by experimentation during the actual trip",enforced,the edges departing from each node are the set of actions an agent may take,independent tabular Q-learning per driver agent (multiagent en-route trip building),full-text,not-addressed,,not-reported,,not-stated,,full-text (acquired 2026-07-07 cycle),MARL,next-link,the edges departing from each node are the set of actions an agent may take,raw-vector,"the environment is a road network G, where nodes are the set of states [independent tabular Q-learning]"
52,yes,Connected vehicles' dynamic route planning based on reinforcement learning,no,"Assume that the state of vehicle 𝑣is (𝑖, 𝑗), and take this state as the input of the RL algorithm.",none,,none,,step-wise,"If they are not directly connected, a penalty is fed back to the agent. If it is reachable, it determines whether it is closer to the destination. If it is closer to the destination, the agent receives a reward, but if it is farther away, the agent receives a smaller penalty.",individual,"the agent receives a reward, but if it is farther away, the agent receives a smaller penalty",implicit-100%,,not-enforced,"If they are not directly connected, a penalty is fed back to the agent.",DQN / DDQN / Dueling DQN and proposed dynamical-weighted Q-learning (DWQL),full-text,boundary-open-addressed,"This scenario is highly complex, with 70 intersections and five exits (three exits upward, one to the right, and one downward)...If the agent cannot handle it correctly, the connected vehicles may circle in the road network and cannot find the exit, which may lead to an increase in the value of duration index value.",not-reported,,not-stated,,"full-text (re-coded, all 10 fields)",DQN-family,next-link,"calculates the next road according to the strategy it had learned, and notifies the environment about the next road",raw-vector,"the agent converts the current road of the connected vehicle into the state (x, y) that serves as an input"
53,yes,A reinforcement learning scheme for the equilibrium of the in-vehicle route choice problem based on congestion game,no,a stochastic variable-structure learning automaton which consists of a simple Markov chain containing only one state (memoryless or static systems),none,,none,,predicted,travelers iteratively update and propose their routing choice priority in responding to their evaluation of near future traffic condition based on shared traffic information among all the travelers,individual,leads to the probabilities of choosing the candidate paths with minimum expected travel time ... because of the noncooperative nature of the travelers,implicit-100%,"there is a group of travelers which need to make route choice decisions among a number of candidate routes, according to the past experiences and real-time traffic information",enforced,"The routing decision is made by first determining the priorities of candidate routes (a probability distribution), and then picking a route",Bush-Mosteller reinforcement learning scheme (learning automata) for congestion-game equilibrium,full-text,not-addressed,,not-reported,,not-stated,,full-text (acquired 2026-07-07 cycle),Tabular-Q-Sarsa,candidate-path,"The routing decision is made by first determining the priorities of candidate routes (a probability distribution), and then picking a route",raw-vector,a learning automaton is introduced to update the mixed strategy [probability vector over candidate routes]
54,yes,Robust Route Planning with Distributional Reinforcement Learning in a Stochastic Road Network Environment,no,the state space is the set of all vertices in the graph representing all possible locations that the robot could visit,none,,none,,step-wise,Rewards are designed to reflect the travel time cost of passing states ... a fixed base action reward is present at all states to reflect the normal travel time cost,individual,Rewards are designed to reflect the travel time cost of passing states,implicit-100%,"the agent receives an observation of the current state st, and decides an action at",enforced,"The available actions at each state are determined by a discrete map of candidate state transitions, which correspond to edges in the graph ... the remainder of the action space corresponds to the loopback action, whereby the agent re-transitions into its current state",QR-DQN with second-order-stochastic-dominance route selection (distributional RL); A2C/PPO/DQN baselines,full-text,not-addressed,,not-reported,,released,The code of our approach is available at https://github.com/RobustFieldAutonomyLab/Stochastic_Road_Network,full-text (acquired 2026-07-07 cycle),Distributional-RL,next-link,"The available actions at each state are determined by a discrete map of candidate state transitions, which correspond to edges in the graph",other-learned-encoder,"The CARLA simulator provides access to an array of rich sensor data-types. In this work, rich 3D LIDAR data is extracted"
55,yes,Deep Reinforcement Learning for Optimizing Route Planning in Urban Traffic,unclear,,none,,unclear,,unclear,,unclear,,implicit-100%,,unclear,,DRL with DNN value-function approximation (base algorithm not clearly specified),full-text,not-addressed,,not-reported,,not-stated,,full-text (acquired 2026-07-07 cycle),Unspecified,unclear,,unclear,
56,yes,Vehicle-Infrastructure Cooperation Framework for Vehicle Navigation and Traffic Signal Control using Deep Reinforcement Learning,yes,"the line connecting the vehicle to the destination and the horizontal line (as shown by angle a in Figure 3) ... including the current average vehicle speed, vehicle density, and the proximity to the destination",none,,none,,step-wise,a reward design that integrates both temporal and spatial indicators. It takes into account not only the time interval of the two actions (Dt) but also the proximity to the destination,mixed,"the goal of vehicle navigation is to reduce travel time, while the objective of signal control is to minimize congestion at the intersection",partial-modeled,we randomly assigned connected communication capabilities to certain vehicles and roadside agents at intersections based on the penetration rate of intelligent networking,action-masking,"if there is no direct path from the selected next road to the destination, the action is modified to choose an alternative road that ensures a continuous path to the destination",improved DQN (double + dueling) vehicle agents and roadside signal agents in vehicle-infrastructure cooperation,full-text,boundary-open-addressed,"to avoid navigation failures, such as vehicles being directed to closed roads at the network's edge and subsequently being unable to reach their destination, the framework implements rule constraints before executing each navigation action",reported,"Effective throughput in this study refers to the number of vehicles that successfully reach their destination, excluding those that arrive at incorrect endpoints or are still navigating in the road network",not-stated,,full-text (acquired 2026-07-07 cycle),MARL,next-link,"the vehicle has three action choices: turning left, going straight, and turning right",raw-vector,"the current state of the vehicle, allowing the vehicle to understand its relative position to the destination"
57,yes,VEGA: Electric Vehicle Navigation Agent via Physics-Informed Neural Operator and Proximal Policy Optimization,yes,we preselect K=8 candidate edges ranked by proximity to the goal (haversine distance from neighbor to goal) ... progress bonus for reducing distance to goal and a proximity incentive near the destination,graph-inductive,The embedding phi(.) is graph-independent because it uses normalized coordinates rather than graph-specific node indices,none,,step-wise,The per-step reward combines four components ... step penalty (-1) plus progress bonus for reducing distance to goal and a proximity incentive near the destination,individual,success bonus (+1000) when Dt < 5 km; battery-depletion penalty ... timeout penalty,implicit-100%,,action-masking,Feasible action masking. We mask the charge action by charger availability and the 80% SoC cap,PPO with A*-teacher behavior cloning and curriculum learning; PINO physics-informed energy model,full-text,not-addressed,,not-reported,,not-stated,,full-text (acquired 2026-07-07 cycle),Policy-gradient-AC,next-link,"At each node vt with neighbors N(vt), we preselect K=8 candidate edges ... The agent selects from K+1 = 9 discrete actions",raw-vector,"Define the SoC feature vector phi(b) = [b, b2, b3, b4, b5] and cumulative charge-time model"
58,yes,Using Car to Infrastructure Communication to Accelerate Learning in Route Choice,no,"Nodes n ∈N are seen as states the agents might be in, and the outgoing edges from n are the possible actions associated with that given state.",none,,none,,step-wise,"Upon choosing an action (an edge e), v perceives its reward, which is the negative of its travel time and is given by the traffic simulator.",mixed,"we propose the use C2I communication to influence road users to learn routes that are not necessarily aligned with individual best solutions, but, rather, with the global optimum.",implicit-100%,,enforced,"Nodes n ∈N are seen as states the agents might be in, and the outgoing edges from n are the possible actions associated with that given state.",MARL tabular Q-learning with C2I communication plus UE-to-SO biasing mechanism,full-text,not-addressed,,not-reported,,not-stated,,"full-text (re-coded, all 10 fields) | provenance: screened under 2016 ATT@IJCAI title by same authors; retrieved/charted full text is the 2021 JIDM extended-version paper by the same authors (cited as such in references)",MARL,next-link,"Nodes n in N are seen as states the agents might be in, and the outgoing edges from n are the possible actions",raw-vector,Nodes n in N are seen as states the agents might be in [tabular Q]
59,yes,Applying Markov decision process to adaptive dynamic route selection model,no,"An agent has a set of states S (instances of nodes in a transportation network) and a set of actions A = {aij| i, j = 1, 2, …, n i, j ≤number of nodes} in each state.",none,,none,,step-wise,let r be the unchanged (momentary) reward of each link and Q the total reward after iteration,individual,An agent seeks to maximise the expected value of rewards gained from all actions.,implicit-100%,,enforced,"an agent can pass each node only once so, when necessary, the second best node must be selected to avoid backtracking",Q-learning (tabular MDP) combined with multinomial logit discrete-choice model (ADRS),full-text,not-addressed,,reported,the average percentage of agents not finding the correct path (failed agents),not-stated,,"full-text (re-coded, all 10 fields)",Tabular-Q-Sarsa,next-link,"an agent can pass each node only once so, when necessary, the second best node must be selected to avoid backtracking",raw-vector,"the maximum Q value in row 2 (83.939) is related to column 1, so the next node is node 1 [tabular Q matrix over nodes]"
60,yes,A Sustainable Multi-Agent Routing Algorithm for Vehicle Platoons in Urban Networks,no,"the set of possible states (consisting, for each AV i, of the edge j where it is driving, the vehicle density and the vehicle densities of the neighbor edges)",none,,none,,step-wise,the local reward has been designed as ... lower traffic densities higher reward realizations ... the heuristics accounts for the current longitudinal speed of the vehicle with respect to the distance from the target,mixed,takes care of traffic congestion phenomena occurring over the urban road network ... the heuristics accounts for the current longitudinal speed of the vehicle with respect to the distance from the target,implicit-100%,the capability of the proposed approach to comply with the routing decision zi(t) at each time instant,enforced,"feasible switchings along the pre-computed sets are always viable and, as a consequence, there exists an admissible path until the target",distributed deep Q-learning routing with set-theoretic distributed MPC tracking (vehicle platoons),full-text,not-addressed,,not-reported,,not-stated,,full-text (acquired 2026-07-07 cycle),Model-based-Hybrid,next-link,feasible switchings along the pre-computed sets are always viable [per-node switching decisions],raw-vector,"the set of possible states (consisting, for each AV i, of the edge j where it is driving, the vehicle density and the vehicle densities of the neighbor edges)"
