title,abstract,authors,year,venue,doi,citationCount,pool,old_include
Generative AI-Augmented Federated Learning for Vehicle Routing in Supply Chain Management With Human Resource Management and Low-Carbon Emission in IIoT,"The growing complexity of the Industrial Internet of Things (IIoT) has facilitated multivehicle routing, workforce planning, and carbon-sensitive logistics, necessitating the use of intelligent real-time optimization frameworks. The conventional federated learning (FL)?�based vehicle routing schemes cannot dynamically react to traffic conditions, energy efficiency needs, and human resource management (HRM) regulations. To address these challenges, this research introduces a generative AI-enriched FL (GAI-FL) paradigm, using conditional variational autoencoders (CVAEs) and adaptive FL (AFL) to optimize vehicle routing performance, HR workload assignment, and sustainability goals. The proposed scheme combines context conditioned latent codes to optimize route choice, driver job allocation, and vehicle scheduling under low-carbon emission constraints and workforce maximization. Realistic simulations confirm that the proposed model outperforms conventional FL-based schemes in delivery efficiency, workforce utilization, and fuel savings. In comparison to AFL, synchronous FL (SFL), and FL, the suggested CVAE-AFL scheme achieves 35% performance improvement in delivery time, 32% reduced carbon emissions, and 25% enhanced transportation cost efficiency. Further, the proposed model enhances the balancing of the driver workload by 28% to meet workload fairness and avoid employee fatigue. The dynamic allocation of the workload, reduced energy consumption, and harmonization of workforce management policy ensures a sustainable, scalable, and AI-aided logistics solution.",R. Arora; R. B. Damarla,2025,IEEE Internet of Things Journal,10.1109/JIOT.2025.3588189,1.0,gate1,
TERRAN: A Transformer-Based Electric Vehicle Routing Agent for Real-Time Adaptive Navigation,"The Electric Vehicle Routing Problem with Time Windows (EVRP-TW) poses significant challenges for sustainable logistics due to its tight coupling of spatial, temporal, and energy constraints. Classical optimization methods face trade-offs: exact solvers like CPLEX ensure optimality but require prohibitive runtimes, while metaheuristics like Variable Neighborhood Search struggle with feasibility under complex constraints. We propose TERRAN, a transformer-based reinforcement learning framework for real-time and scalable EVRP-TW optimization. TERRAN integrates three key components: 1) Future-Feasibility Pruning (FFP), which proactively eliminates energy-infeasible actions by verifying reachability to charging stations or depots before each move; 2) Staged Reward Scheduling, which progressively transitions from dense auxiliary signals to task-aligned rewards to guide the agent from achieving feasibility to minimizing cost; and 3) An End-to-End Transformer-Based RL Agent Tailored for EVRP-TW, which directly integrates EV-specific constraints?�including battery consumption, charging decisions, and delivery time windows?�into the policy network and decoding process, enabling unified, post-processing-free optimization across varying instance scales. Experiments on Solomon benchmark instances with 5??00 customers demonstrate that TERRAN achieves 100% feasibility across all problem scales. It matches CPLEX?�s optimality on 5?�customer instances, achieves up to 170, $000\times $  speedups with solutions within 1.5% of optimal on 15?�customer instances (0.02?�s vs. 3,500?�s), and delivers feasible solutions for 100?�customer instances in 0.47?�s, where CPLEX fails on over 80% of cases within 1 hour. These results establish TERRAN as a practical and scalable solution for real-time electric vehicle routing in complex and constraint-rich environments. Note to Practitioners?�This paper addresses the challenge of real-time route planning for electric vehicles (EVs), which is critical for logistics platforms such as Amazon and FedEx that must quickly generate delivery routes while managing battery constraints, charging logistics, and strict customer time windows. We propose TERRAN, a deep reinforcement learning framework that produces feasible EV routing plans within seconds, achieving computational speeds that are orders of magnitude faster than classical solvers like CPLEX while maintaining solution quality far superior to traditional heuristics. By enforcing hard feasibility constraints during decision-making, TERRAN guarantees that all generated routes satisfy operational requirements without the need for post-processing or repair. Although the current implementation assumes simplified vehicle dynamics?�including constant travel speed, fixed charging rates, and a compulsory full charging strategy?�these idealized assumptions allow efficient initial modeling but limit applicability to more dynamic real-world environments. Future work will address these limitations by introducing nonlinear battery models, dynamic traffic conditions, and flexible partial charging strategies. Beyond last-mile delivery, the proposed approach may also benefit broader applications in smart city logistics, dynamic fleet management, and intelligent energy scheduling for electric vehicle networks.",M. Tang; N. Yu; I. Karamouzas; Z. Ye,2026,IEEE Transactions on Automation Science and Engineering,10.1109/TASE.2025.3632767,1.0,gate1,
Autonomous Operations With a Safe Reinforcement Learning Approach for Urban Rail Transit,"Reinforcement learning has increasingly showcased its potential in decision-making for the autonomous operation of urban rail transit. However, the inability of reinforcement learning to ensure safety during both the learning and execution phases presents a significant barrier to its practical application. This limitation makes it challenging to implement reinforcement learning in safety-critical domains. In urban rail transit, it is reflected in generating control command sequences that keep the train?�s speed consistently below the speed limit. To address this issue, a framework is proposed for intelligent control of autonomous urban rail transit trains, referred to as SSA-DRL (Shield-Searching-Additional-DRL). This framework comprises four modules: a post-posed Shield, a Searching Tree, an Additional Learner, and a DRL framework. It effectively satisfies speed and schedule constraints while optimizing operational processes. The framework is evaluated across sixteen different sections, demonstrating its effectiveness through both basic simulations and additional experiments.",Z. Zhao; J. Xun; Y. Lin; A. H. F. Chow; J. Chen,2025,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2025.3588585,,gate1,
"Real-Time Planning of Route, Speed, and Charging for Electric Delivery Vehicles: A Deep Reinforcement Learning Approach","Motor vehicles typically exhibit a ?�speed-varying range??(SVR) characteristic. For battery-powered electric vehicles (BEVs), the range diminishes at higher speed. This characteristic greatly impacts BEV operation for demanding commercial uses like express delivery, given their limited range and long recharge times. In view of the above, this article examines a new electric vehicle routing problem (VRP) that explicitly models BEVs??SVR and considers the joint planning of BEV route, speed, and charging under stochastic traffic conditions. A deep reinforcement learning (DRL) approach that exploits the interdependence among the above three decision aspects is then developed to generate real-time policies. Experiments on hypothetical and real-world instances showcase that the proposed approach can efficiently find high-quality policies that effectively accommodate BEVs??SVR.",X. Bi; M. Shen; W. Gu; E. Chung; Y. Wang,2025,IEEE Transactions on Transportation Electrification,10.1109/TTE.2024.3523922,3.0,gate1,
Data-Driven Traffic Simulation: A Comprehensive Review,"Autonomous vehicles (AVs) have the potential to significantly revolutionize society by providing a secure and efficient mode of transportation. Recent years have witnessed notable advancements in autonomous driving perception and prediction, but the challenge of validating the performance of AVs remains largely unresolved. Data-driven microscopic traffic simulation has become an important tool for autonomous driving testing due to 1) availability of high-fidelity traffic data; 2) its advantages of enabling large-scale testing and scenario reproducibility; and 3) its potential in reactive and realistic traffic simulation. However, a comprehensive review of this topic is currently lacking. This paper aims to fill this gap by summarizing relevant studies. The primary objective of this paper is to review current research efforts and provide a futuristic perspective that will benefit future developments in the field. It introduces the general issues of data-driven traffic simulation and outlines key concepts and terms. After overviewing traffic simulation, various datasets and evaluation metrics commonly used are reviewed. The paper then offers a comprehensive evaluation of imitation learning, reinforcement learning, deep generative and deep learning methods, summarizing each and analyzing their advantages and disadvantages in detail. Moreover, it evaluates the state-of-the-art, existing challenges, and future research directions.",D. Chen; M. Zhu; H. Yang; X. Wang; Y. Wang,2024,IEEE Transactions on Intelligent Vehicles,10.1109/TIV.2024.3367919,61.0,gate1,
"PassGoodPool: Joint Passengers and Goods Fleet Management With Reinforcement Learning Aided Pricing, Matching, and Route Planning","The ubiquitous growth of mobility-on-demand services for passenger and goods delivery has brought various challenges and opportunities within the realm of transportation systems. As a result, intelligent transportation systems are being developed to maximize operational profitability, user convenience, and environmental sustainability. The growth of last mile deliveries alongside ridesharing calls for an efficient and cohesive system that transports both passengers and goods. Existing methods address this using static routing methods considering neither the demands of requests nor the transfer of goods between vehicles during route planning. In this paper, we present a dynamic and demand aware fleet management framework for combined goods and passenger transportation that is capable of (1) Involving both passengers and drivers in the decision-making process by allowing drivers to negotiate to a mutually suitable price, and passengers to accept/reject, (2) Matching of goods to vehicles, and the multi-hop transfer of goods, (3) Dynamically generating optimal routes for each vehicle considering demand along their paths, based on the insertion cost which then determines the matching, (4) Dispatching idle vehicles to areas of anticipated high passenger and goods demand using Deep Reinforcement Learning (RL), (5) Allowing for distributed inference at each vehicle while collectively optimizing fleet objectives. Our proposed model is deployable independently within each vehicle as this minimizes computational costs associated with the growth of distributed systems and democratizes decision-making to each individual. Simulations on a variety of vehicle types, goods, and passenger utility functions show the effectiveness of our approach as compared to other methods that do not consider combined load transportation or dynamic multi-hop route planning. Our proposed method showed improvements over the next best baseline in various aspects including a 15% increase in fleet utilization and a 20% increase in average vehicle profits.",K. Manchella; M. Haliem; V. Aggarwal; B. Bhargava,2022,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2021.3128877,36.0,gate1,
Augmenting the Robustness of Tactical Maneuver Decision-Making in Unmanned Aerial Combat Vehicles During Dogfights via Prioritized Population Play With Diversified Partners,"This article introduces the prioritized population play with diversified partners (P3DPs) to augment the robustness of tactical maneuver decision-making in unmanned aerial combat vehicles during dogfights when facing a spectrum of opponent strategies. Population play where multiple agents exist during the training phase is utilized to facilitate the initialization. Prioritized opponent sampling, favoring agents with higher historical win rates, ensures that the training process focuses on more competitive and challenging scenarios, therefore augmenting the quality of data. Furthermore, a diversity-guided approach is implemented, where each agent maintains individual policy entropy while collectively optimizing the population entropy (PE). This method augments the diversity within the population, preventing policies from becoming identical. In addition, a partner mechanism is introduced, where a primary agent disregards the PE to protect the optimality of its policy from diversity consideration. Meanwhile, other agents act as partners, supplying various opponent policies to increase data diversity. Experiments validate that P3DP surpasses other training methodologies, enormously augmenting policy robustness.",H. Han; J. Cheng; M. Lv; H. Duan,2025,IEEE Transactions on Aerospace and Electronic Systems,10.1109/TAES.2025.3578294,6.0,gate1,
Supervision-Enhanced Deep Reinforcement Learning for Hybrid Action in BVR Engagement,"Deep reinforcement learning has gained increasing popularity in the beyond visual range engagement of unmanned combat aerial vehicles. Regardless of the success of the maneuvering decision, existing methods either utilize sparse rewards to optimize fire control or adopt a predefined fire policy, severely limiting the engagement performance. This paper presents a supervision-enhanced technique to address the challenges of the hybrid action space. A dual-head policy is developed, with one head dedicated to maneuvering decisions and the other to fire control. Alongside the reinforcement learning memory that stores state transitions, supervised learning memory is introduced to store pairs of states where missiles are launched and the hit outcomes. The maneuvering head is trained with the soft policy gradient, while the fire control head is optimized with the binary cross-entropy loss. This method enables agents to make maneuvering decisions and predict missile hit probabilities simultaneously without prior expert knowledge. Simulation demonstrates the superiority of the proposed method.",H. Han; J. Cheng; M. Lv; L. Mo,2026,IEEE Robotics and Automation Letters,10.1109/LRA.2025.3641098,3.0,gate1,
A Systematic Review of Adversarial Attacks and Defenses for Deep Reinforcement Learning in Autonomous Vehicle Applications,"Deep reinforcement learning (DRL) is a significant component of autonomous vehicle (AV) systems, as it is involved in crucial aspects such as decision-making, motion planning, and control systems. Nevertheless, DRL exhibits inherent weaknesses that render it vulnerable to adversarial attacks. On the other hand, AV applications are classified as safety-critical applications. This work presents a systematic literature review of several forms of adversarial attacks and the corresponding response mechanisms developed in the literature on AVs. This study additionally examines several datasets utilized for benchmarking purposes and different evaluation factors employed to assess the resilience and efficacy of adversarial attacks. The survey adheres to the PRMA standards. Excluded from consideration are articles that failed to take into account adversarial assaults on DRL and Deep Learning (DL). A comprehensive search yielded a total of 2250 distinct peer-reviewed articles sourced from the ACM Digital Library, IEEE Xplore, Springer, and Elsevier databases. Upon fulfilling the predefined criteria for inclusion and exclusion, a sum of 151 articles is encompassed in the ultimate review. In the end, the paper examines the existing research gaps and proposes potential options for further investigations.",Z. Sarayloo; S. Lohrasbi; P. Xiong; N. Lashgarian Azad,2026,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2026.3666151,,gate1,
SG-GAN for Electric Vehicle Road Networks and Q-Learning in Energy Efficient Routing,"This paper suggests a novel routing scheme for multiple electric vehicles (EVs) on a mesh-type road network, which is generated using a Spatial Graph-Generative Adversarial Network (SG-GAN). The scheme focuses on optimizing both the routing of EVs and their association with the respective charging stations(CSs) to reduce energy consumption. The challenge lies in effectively managing factors such as travel cost, the state of charge (SoC) of the battery, and congestion in the road network. To address this problem, we propose a Reinforcement Learning (RL) based approach that minimizes energy consumption and the overall travel time for EVs to reach their destinations. A Q-learning algorithm for RL is employed to solve the nonlinear constrained optimization problems. Through simulation experiments on a road network evolved through SG-GAN, which generates realistic and complex network topologies, we address the allocation of CSs and EVs optimal routing. The results demonstrate the effectiveness of our approach compared to the existing methods, achieving a 2.68% reduction in energy consumption along with a similarity measure, on an average Kullback?�Leibler (KL) distance (divergence) 0.54 in the SG-GAN generated road network from the reference real one.",S. K. Das; S. P. Maity; C. Chakraborty,2025,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2025.3585310,,gate1,
Learned Unmanned Vehicle Scheduling for Large-Scale Urban Logistics,"The adoption of unmanned vehicles in urban logistics has gradually become a trend. It can effectively lower carbon emissions, reduce labor costs, and improve logistics efficiency. In this paper, we investigate a novel problem of unmanned vehicle scheduling (UVS) for large-scale urban logistics, where the logistics platform assigns unmanned vehicles to deliver parcels among stations under the constraints of time, capacity, and electricity to maximize the overall revenue of the logistics platform. Although the UVS problem is of practical usefulness, solving it requires non-trivial efforts, because we have proved that the UVS problem is NP-hard. To solve the UVS problem efficiently, we propose an efficient two-stage processing framework, including task assignment and vehicle reposition. Specifically, in the first stage, we propose an effective preference-aware matching (PAM) algorithm to deal with task assignments between unmanned vehicles and delivery tasks, which considers not only the electricity consumption of unmanned vehicles but also the supply-demand balance between delivery tasks and unmanned vehicles. In the second stage, we propose two vehicle repositioning algorithms based on deep reinforcement learning, termed restricted DQN repositioning algorithm (RDR) and restricted A2C repositioning algorithm (RAR), which can effectively refine the vehicle?�s reposition stations based on vehicle supply and demand, electricity supply and demand, charging pile availability and collision avoidance restriction rules at current and neighbor stations, so that the vehicles can be efficiently relocated to stations with over-delivery tasks. Finally, extensive experiments have demonstrated that our proposed algorithms can achieve desirable efficiency and effectiveness.",M. Zhang; Y. Zeng; K. Wang; Y. Li; Q. Wu; M. Xu,2024,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2024.3351687,8.0,gate1,
Deep Reinforcement Learning-Based Off-Road Path Planning via Low-Dimensional Simulation,"Path planning is a critical aspect of autonomous driving. Traditional methods have excelled in urban environments but struggle off-road due to unpredictable conditions. This paper introduces a Deep Reinforcement Learning-based off-road path planning approach called PPOAC by training the agent in a low-dimensional simulator built by Occupancy Grid Maps (OGMs). A self-supervised auxiliary task is proposed to help the agent to learn environmental knowledge. Moreover, an adaptive curriculum learning method is introduced to enhance the agent's training efficiency and generalization ability. The agent is trained and evaluated in real-world data, and experimental results demonstrate that it can obtain traversable and safe paths while generalizing effectively to unknown environments.",X. Wang; E. Shang; B. Dai; Q. Miao; Y. Nie,2024,IEEE Transactions on Intelligent Vehicles,10.1109/TIV.2023.3347531,11.0,gate1,
Efficient and Eco Lane-Changing Trajectory Planning for Connected and Automated Vehicles: Deep Reinforcement Learning-Based Method,"A deep reinforcement learning-based method for planning the lane-changing trajectory of connected and automated vehicles (CAVs) is proposed to increase traffic efficiency and reduce fuel consumption. The long-short-term-memory-based twin delayed deep deterministic policy gradient (LSTM-TD3) algorithm is implemented and trained to achieve the optimal longitudinal and lateral lane-changing trajectory. The instantaneous fuel consumption and the desired speed and acceleration difference are used as reward and penalty terms. The effectiveness of the algorithm was verified through real data based typical lane-changing scenarios using CARLA software. The results indicate that the proposed LSTM-TD3-based lane-changing planning method reduced fuel consumption by 6.36% compared to TD3, 9.84% compared to LSTM-DDPG, and 26.31% compared to DDPG. Compared to TD3, LSTM-DDPG, and DDPG, the completion time for lane-changing is reduced by 0.18s, 0.15s and 0.2s, respectively. The success rate of trajectory planning has also increased compared to other algorithms. Furthermore, the results demonstrate the potential of deep reinforcement learning technologies in the control and applications of CAVs.",S. Jing; Y. Feng; F. Hui; J. Liu; X. Zhao; A. J. Khattak,2025,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2025.3564607,2.0,gate1,
Heuristic-Augmented Attentions for the Electric Vehicle Routing Problem with Time Windows,"Recently, the integration of electric vehicles (EVs) into intelligent transportation systems has introduced significant and novel challenges, necessitated by the need to account for additional factors such as battery consumption and charging station characteristics. To achieve the sustainable integration of EVs into these systems, the development of new models, methods, and technologies is crucial. The electric vehicle routing problem with time windows (EVRPTW) represents an innovative challenge in this domain. It involves determining optimal routes for a fleet of EVs to provide freight transportation services, while considering energy consumption, charging times, and customer service times. Although existing methods incorporating attention-based Transformer architecture have achieved remarkable success in solving traditional vehicle routing problems, they encounter substantial difficulties when directly applied to the EVRPTW. This is mainly due to the complex interplay between customer time-window restrictions and battery-capacity limitations. To address these challenges, this paper presents a novel heuristic-augmented attention method that harnesses heuristic information to enhance attention mechanisms. Specifically, an adaptive compatibility module is introduced to leverage time windows information, thereby enhancing the effective connectivity of nodes under various constraints and improving the understanding of the solution space. Furthermore, a dynamic heuristic-enhanced attention is utilized to facilitate a more in-depth understanding of the relationships between different types of nodes. The experimental results demonstrate that the proposed approach out performs representative attention-based methods. It achieves superior performance in balancing route length and time window satisfaction.",C. Wang; R. Zhang; H. Wang,2026,IEEE Transactions on Vehicular Technology,10.1109/TVT.2026.3665950,,gate1,
Solving Multi-Depots Pickup and Delivery Problem Based on Heterogeneous Collaborative Multi-Attention Mechanism,"As the complexity of logistics scenarios continues to increase, numerous new challenges have emerged. In multi-depots pickup and delivery path planning (MDPDP) scenario, these challenges include cross-depot resource coordination, spatio-temporal dependencies of pickup-delivery pairs, and generalization across problem scales. To address these challenges, this paper proposes a deep reinforcement learning framework with a Heterogeneous Collaborative Multi-Attention (HCMA) mechanism. The HCMA framework has three key features. 1) HCMA comprises a three-level heterogeneous attention architecture: an inter-depot collaborative attention module for cross-depot resource allocation, a pickup-delivery pairing attention module that explicitly learns sequential and pairwise relationships between task nodes, and a global attention module to capture long-range node dependencies. 2) HCMA dynamically integrates real-time vehicle status with multi-type node features through attention weighting to balance vehicle resource utilization across depots. 3) HCMA adopts multi-start training and instance augmentation strategies to enhance generalization capability and obtain the global optimal solution. Extensive experiments conducted on random datasets, benchmark datasets, and a real-world Shenzhen logistics dataset demonstrate that the proposed HCMA method outperforms state-of-the-art heuristic algorithms and deep reinforcement learning baselines, while exhibiting superior generalization capability. The source code is publicly available at: https://github.com/CIA-SZU/LAQ",Y. Lu; A. Li; C. Song; Z. Liang,2026,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2026.3662374,,gate1,
Advancements in AI-Powered Electric Vehicle Routing: Multi-Constraint Optimization and Infrastructure Integration Approaches for Evolving EVs?�A Survey,"Electric vehicles (EVs) have become essential tools in the worldwide shift to sustainable transportation, driven by advances in battery technology, charging infrastructure, and routing algorithms. This paper presents a comprehensive investigation of the emerging EV ecosystem through three key domains: electric automobiles, routing algorithms, and charging infrastructure. The study uses a dual methodology combining automated data collection with manual filtering to ensure research quality. The investigation spans EV evolution from the 1820s to 2024+, tracking battery technology advancement from early Lead-acid systems (20-30km range) to future Solid-State batteries (800-1000km range), alongside the development of charging infrastructure from basic Level 1 systems to advanced wireless and vehicle-to-grid technologies. The research examines how routing algorithms have evolved from traditional approaches like Dijkstra?�s and Bellman-Ford to advanced AI-driven methods. A key focus is multi-constraint optimization that simultaneously manages State of Charge, waiting times, traffic conditions, energy consumption, and charging needs. The study evaluates modern AI techniques including Graph Neural Networks, Transformers, Multi-Agent Reinforcement Learning, Deep Reinforcement Learning, and Neuro-Fuzzy systems, demonstrating their superior performance over conventional methods. Major EV challenges such as range anxiety, charging delays, poor station distribution, and traffic unpredictability are addressed through intelligent solutions. These include reinforcement learning for adaptive routing, predictive analytics for demand forecasting, and smart charging systems for grid optimization. Experimental validation shows significant improvements in energy efficiency, route optimization, and system adaptability. Future directions include Vehicle-to-Everything communication, multi-agent coordination, next-generation batteries, and renewable energy integration. This study establishes a multi-constraint optimization framework with hybrid AI integration, providing a foundation for scalable and intelligent electric vehicle ecosystems.",P. Anandha Prakash; R. Radha,2025,IEEE Access,10.1109/ACCESS.2025.3589363,11.0,gate1,
Path Planning for Unmanned Aerial Vehicle via Off-Policy Reinforcement Learning With Enhanced Exploration,"Unmanned aerial vehicles (UAVs) are widely used in urban search and rescue, where path planning plays a critical role. This paper proposes an approach using off-policy reinforcement learning (RL) with an improved exploration mechanism (IEM) based on prioritized experience replay (PER) and curiosity-driven exploration to address the time-constrained path planning problem for UAVs operating in complex unknown environments. Firstly, to meet the task's time constraints, we design a rollout algorithm based on PER to optimize the behavior policy and enhance sampling efficiency. Additionally, we address the issue that certain off-policy RL algorithms often get trapped in local optima in environments with sparse rewards by measuring curiosity using the states' unvisited time and generating intrinsic rewards to encourage exploration. Lastly, we introduce IEM into the sampling stage of various off-policy RL algorithms. Simulation experiments demonstrate that, compared to the original off-policy RL algorithms, the algorithms incorporating IEM can reduce the planning time required for rescuing paths and achieve the goal of rescuing all trapped individuals.",Z. Wang; W. Gao; G. Li; Z. Wang; M. Gong,2024,IEEE Transactions on Emerging Topics in Computational Intelligence,10.1109/TETCI.2024.3369485,33.0,gate1,
Optimizing Intersection Navigation With Multishot Update Mechanism: A Real-Time Distributed Reinforcement Learning for Ground and Aerial Moving Objects,"As the Internet of Things (IoT) reshapes modern transportation, there is a growing need for an intelligent navigation strategy that addresses the challenges of various moving objects (MOs) like ground vehicle, indoor robots, and unmanned aerial vehicles (UAVs), while also overcoming recent global positioning system (GPS) vulnerabilities. These vulnerabilities include signal unavailability in obstructed environments, geopolitical or institutional dependencies of GPS services, and risks of centralized system failures, such as single-node disruptions. To address these issues, we introduce UDMSU-distributed reinforcement learning (DRL), a real-time user-demand-based DRL algorithm for intersection navigation, incorporating a multishot update mechanism. Our decentralized, GPS-independent approach meets real-time user preferences, such as time, energy, and safety?�while ensuring private navigation by restricting data exchange to localized road segment interactions with the intersection agent. The proposed multishot Q-table update (MSQU) mechanism enhances data efficiency by reusing Q-values across multiple Q-table updates, thereby accelerating learning convergence. Extensive experiments show that our method effectively adapts to dynamic environments with diverse user demands, while reducing computational complexity and memory usage compared to other methods.",Q. Yang; S. -J. Yoo,2025,IEEE Internet of Things Journal,10.1109/JIOT.2025.3589567,1.0,gate1,
Safe Hierarchical Autonomous Driving Framework: Integrating SAC-D Planning With HOCLF-HOCBF-QP Constrained Low-Level Control,"Autonomous driving requires decision-making and motion control algorithms that can ensure both safety and efficiency in complex traffic environments. To address these challenges, this study proposes a hierarchical decision making and control framework that integrates a Soft Actor-Critic Discrete (SAC-D) planner with a High-Order Control Lyapunov Function and High-Order Control Barrier Function Quadratic Programming (HOCLF-HOCBF-QP) based controller. In this approach, the high-level SAC-D planning agent operates on a discrete action space, generates lane-level maneuver commands (such as lane keeping, left lane change, or right lane change), and learns an optimal decision policy through various traffic interaction scenarios. In the low-level control phase, HOCLFs enforce system stability, ensuring the vehicle follows a desired trajectory, while HOCBFs define safety boundaries, preventing collisions between the ego-vehicle and other road users. The optimal control input is then obtained by solving a QP problem, which ensures that both stability and safety constraints are satisfied. A simulation study comprehensively evaluates the proposed framework using both roundabout and intersection traffic scenarios. Simulation results demonstrate that the SAC-D and HOCLF-HOCBF-QP control framework enables the ego-vehicle to perform robust and collision-free maneuvers, offering a reliable solution for safe autonomous navigation in complex environments. Real-time implementation capability of the SAC-D and HOCLF-HOCBF-QP is demonstrated using a Hardware-in-the-Loop system, where the low-level control algorithm and the high-level decision making are successfully executed in an automotive electronic control unit and a separate computational unit, respectively.",H. Chen; B. Aksun-Guvenc,2026,IEEE Open Journal of Vehicular Technology,10.1109/OJVT.2026.3691614,,gate1,
Eco-Driving With Deep Reinforcement Learning at Signalized Intersections Considering On-the-Fly Queue Dissipation Estimation and Lane-Merging Disturbances,"Eco-driving research has grown significantly over the past decade, increasingly incorporating real-world traffic and road conditions such as road gradients, lane changes, and queue effects. However, most existing studies that account for queue effects are limited to single-lane scenarios, without considering lane-merging disturbances, and can only estimate queue length or discharge time within restricted regions. To address these limitations, this paper proposes a novel deep reinforcement learning (DRL) based eco-driving algorithm that simultaneously considers on-the-fly queue dissipation time estimation and lane-merging disturbances. The approach integrates a practical and cost-effective navigation-app-based traffic data sharing framework with a data-driven dissipation time estimation model, enabling the reinforcement learning agent to continuously receive accurate modified reference speeds that reflect both queueing and merging vehicle effects. Five comprehensive case studies, benchmarked against conventional and state-of-the-art eco-driving methods, were conducted to evaluate the effectiveness of the proposed approach. Simulation results demonstrate that the proposed method consistently achieves the best energy performance across all scenarios, reducing energy consumption by an average of 37.5% compared with the Intelligent Driver Model (IDM) baseline.",X. Ren; C. S. Lai; G. Taylor; Y. Yuan,2025,IEEE Open Journal of Vehicular Technology,10.1109/OJVT.2025.3618855,,gate1,
Heterogeneous Attention-Based Graph Convolutional Network for Solving Asymmetric Pickup and Delivery Problem,"In recent years, there has been a notable increase in demand for pickup and delivery services, mainly driven by the expansion of e-commerce. These services can be conceptualized as pickup and delivery problems (PDPs), which are important variants of vehicle routing problems (VRPs). While neural methods based on deep reinforcement learning (DRL) have demonstrated success in solving VRPs, current neural methods for PDP predominantly depend on customer coordinates and Euclidean distances. This heavy reliance can diminish their practical value, given the intricacies of real-world road networks and inherent asymmetries. This paper presents a novel learning-based method, i.e., HA-GCN, that couples heterogeneous attention (HA) and a graph convolutional network (GCN) to tackle the asymmetric pickup and delivery problem (APDP). The HA-GCN model utilizes HA to comprehend the innate pairing and precedence constraints between nodes in APDP. Concurrently, it employs GCN to amalgamate features of nodes and edges, facilitating the extraction of asymmetric attributes. Additionally, to augment the real-world relevance of HA-GCN, we train the model grounded in a dataset drawn from real geographic information. Comprehensive experiments suggest that our proposed method performs favorably against both traditional and learning-based state-of-the-art approaches, while demonstrating robust generalization capabilities. Note to Practitioners?�Research on the pickup and delivery problem (PDP) addresses challenges in the rapidly growing field of end-to-end delivery services, such as food and parcel delivery. This study focuses on the asymmetric pickup and delivery problem (APDP), a variant of PDP reflecting real-world road networks with one-way streets and varying distances between locations. However, due to the exponential complexity and asymmetric nature of APDP, existing traditional methods and deep reinforcement learning (DRL) approaches struggle to effectively address this challenge. To address this, we propose HA-GCN, a DRL-based model compling heterogeneous attention and a graph convolutional network. HA-GCN effectively distinguishes pickup and delivery nodes in APDP, capturing differences in asymmetric distances in real-world road networks. Experimental results based on instances of different scales show that HA-GCN outperforms learning-based and traditional baselines, exhibiting satisfactory generalization capabilities. Given these confirmed advantages, our HA-GCN has great potential to not only offer the practitioners effective alternative approaches, but also improve the solution quality for the pickup and delivery in the operation of express hubs or logistics centers in specific regions of the real world.",J. Li; G. Wu; M. Fan; Z. Cao; Y. Wang,2025,IEEE Transactions on Automation Science and Engineering,10.1109/TASE.2025.3548141,6.0,gate1,
Multilevel-Attention-Driven Decision-Making Framework for Unsignalized Intersections Based on Dual-Buffer Soft Actor?�Critic,"A novel autonomous driving motion planning framework for unsignalized intersections is presented. To achieve an effective balance between safety and efficiency in the decision-making process, a motion planning decision strategy tailored for discrete action spaces is developed based on the discrete soft actor?�critic algorithm. In response to the challenges posed by the complexity of feature information in dense intersection environments, a multilevel attention mechanism?�integrating both feature-level and vehicle-entity-level information?�is introduced to significantly enhance feature extraction and processing capabilities. Furthermore, to mitigate the issues of temporal sample distribution imbalance and low utilization of high-value samples in a single experience pool, a dual experience buffer prioritized replay mechanism is proposed, thereby improving training stability. Experimental results indicate that, compared with alternative methods, the proposed framework not only achieves a superior balance between efficiency and safety but also exhibits enhanced interpretability and generalization performance.",J. Peng; Y. Shi; H. He; J. Zhou; Y. Han; Y. Fan,2025,IEEE Internet of Things Journal,10.1109/JIOT.2025.3585919,,gate1,
