include,paperId,title,year,venue,citationCount
,dd36e9a96e5f00170476b7f86e4706978c1cac49,Grace: Toward Routing in Dynamic Network Environments With Graph Embedding,2025,IEEE Transactions on Networking,3
,9939ea74cf4696a9d506fc01fdeaaff8d7864aab,Intelligent Security Aware Routing: Using Model-Free Reinforcement Learning,2023,International Conference on Computer Communications and Networks,3
,81403b0731bdadc55ec1812961353c39e8caaf22,Rough-Terrain Path Planning Based on Deep Reinforcement Learning,2025,Applied Sciences,3
,fb034d077145fbe30ad40885f12d7997d101703f,Optimization Path Planning Algorithm Based on Deep Reinforcement Learning,2024,"2024 Asia-Pacific Conference on Software Engineering, Social Network Analysis and Intelligent Computing (SSAIC)",3
1,bae3dd7495c475a3ac9f985103e9465d5bc64e29,Reinforcement Learning Method with Dynamic Learning Rate for Real-Time Route Guidance Based on SUMO,2022,"International Conference on Control, Automation, Robotics and Vision",3
,ee845d63ba6c6a1e06bf5323910932cc22830de7,A Conflict-Free Routing Method for Automated Guided Vehicles Using Reinforcement Learning,2020,,3
,95e3e387b74f4dfe3809f4ee615495b1a90950eb,A Deep Reinforcement Learning and Graph Convolution Approach to On-Street Parking Search Navigation,2025,Italian National Conference on Sensors,3
,2dec085907b084264c6917ad772fe0544a83249b,DGL-Routing: One Routing Optimization Model Based on Deep Graph Learning,2023,2023 IEEE International Conference on Communications Workshops (ICC Workshops),3
,8849f2e986bb0dfeae62fda3f42a79f511d94107,O-DQR: A Multi-Agent Deep Reinforcement Learning for Multihop Routing in Overlay Networks,2025,IEEE Transactions on Network and Service Management,2
0,c321d9f900051ee377d1e21c82094772a38502c6,Model-Based Deep Reinforcement Learning for Energy Efficient Routing of a Connected and Automated Vehicle,2025,Sustainability,2
,d642878317fa01238abd8d16d9d69a01f5b4577b,CGTR: Leveraging Contrastive Learning and Graph Transformer for Deep Reinforcement Learning Based Robust Routing,2024,ICC 2024 - IEEE International Conference on Communications,2
,11e0825d0211a6d14b3bb16a926568ae6941b7e8,Flowlet-Level Routing Optimization with GNN-Based Multi-Agent Deep Reinforcement Learning,2023,Global Communications Conference,2
,be8d57fafe307b3ea302d8b3949a2df6d71c3091,MA-CDMR: An Intelligent Cross-domain Multicast Routing Method based on Multiagent Deep Reinforcement Learning in Multi-domain SDWN,2024,arXiv.org,2
,5d82885426ebd5f83891df7bf3096283dfeb259f,An intelligent routing optimization strategy based on deep reinforcement learning,2021,Journal of Physics: Conference Series,2
,71efa3d0fe0c1ccfe83f76f21eecf7439ede1c47,Joint Content Caching and Request Routing for User-Centric Many-Objective Metaverse Services,2025,IEEE Transactions on Network Science and Engineering,2
,f022e10a2076c90bc0b3890c03742a54d26698ea,A Novel Reinforcement Learning Framework for Adaptive Routing in Network-on-Chips,2021,"2021 IEEE 23rd Int Conf on High Performance Computing & Communications; 7th Int Conf on Data Science & Systems; 19th Int Conf on Smart City; 7th Int Conf on Dependability in Sensor, Cloud & Big Data Systems & Application (HPCC/DSS/SmartCity/DependSys)",2
,4a9b9d5f441c5561e511b8e03f836f405367496e,Integrated mode of transport: a predictive model for route guidance,2020,,2
0,1de720239860fc775aa806c8a3958c8dd23d54df,Reinforcement Learning-based Sequential Route Recommendation for System-Optimal Traffic Assignment,2025,arXiv.org,2
0,944324b39827f4274fa25e906dad6332043a0d01,Joint Optimization of Traffic Signal Control and Vehicle Routing in Signalized Road Networks using Multi-Agent Deep Reinforcement Learning,2023,arXiv.org,2
0,46c4652e4fb287531f1a0ac44354ac7de33394df,Dynamic Route Guidance System Based on Real-time Vehicle-Road Collaborations with Deep Reinforcement Learning,2023,IEEE Vehicular Technology Conference,1
,fcba5967f482b1e785eb6a7acb6f01d7396d12e8,ROAR: Routing Packets in P4 Switches With Multi-Agent Decisions Logic,2024,2024 IEEE International Conference on Machine Learning for Communication and Networking (ICMLCN),1
,4aaf6aed732bc95309536dbee4908bdca3fbe153,Machine Learning-Enhanced Last-Mile Delivery Optimization: Integrating Deep Reinforcement Learning with Queueing Theory for Dynamic Vehicle Routing,2025,Applied Sciences,1
,137b9b8051e1ee4da357bf09a77b1d6da4c29699,An Intersection-Based Traffic Awareness Routing Protocol in VANETs Using Deep Reinforcement Learning,2024,Wireless personal communications,1
0,e205ff2aaaa1040ce1feb7d2ab20d44cfc8128d9,Deep Reinforcement Learning for Vehicle Swarm Navigation and Urban Traffic Optimization,2025,Transactions on Emerging Telecommunications Technologies,1
,7c4ef6bc40840571a75071e89a3e7dfa7d6b625b,Autonomous Flow Routing Based on Deep Reinforcement Learning,2024,International Conference on Transparent Optical Networks,1
,9bc36c538c1d87113d00e0e8efb1c018a85b1bf3,When to Reach for the Skies? A DRL-Based Routing Framework for Non-Terrestrial Networks,2025,IEEE Networking Letters,1
,e613ff5ca2bd26dd960f197a2c105d4300a80d1e,Transformer-Enabled DRL Routing for DCNs with Sequential Flow Features,2024,ICC 2024 - IEEE International Conference on Communications,1
0,c997b91bc4b985f3bf3ad8dd56b85417f729055a,Integrated Routing and Traffic Signal Control for CAVs via Reinforcement Learning Approach,2024,2024 IEEE 27th International Conference on Intelligent Transportation Systems (ITSC),1
,635e31aae09aa1ea85bc1d872caba4b3a9ec157d,Jointly Optimal Caching and Routing Using Multi-Agent Reinforcement Learning,2023,ICC 2023 - IEEE International Conference on Communications,1
,9d83fdf3df28d92b93f39347114aad5d29f859e7,Enhancing Energy Efficiency in Heterogeneous Cyber Security Networks Using Deep Q-Networks Data Routing,2024,Journal of cybersecurity and information management,1
,59a8c3cb052ae20ef69c164c8ba8f2501ef92383,Safety-Aware Path Planning for Post-Disaster Rescue Vehicles,2024,"2024 4th International Conference on Artificial Intelligence, Virtual Reality and Visualization",1
,9f2d1c5126c9b88d391f18063497d5ca3d71a8f7,Intelligent path planning technique for autonomous vehicles using improved harmony search optimized fuzzy control,2025,World Journal of Advanced Research and Reviews,1
,b6d9d5b073e544db48d518af817f9c5d1b15eefa,A Transcoding Task Offloading and Routing Decision-Making Scheme in Live Transmission Architecture Based on Computing Power Network,2023,Journal of networking and network applications,1
,62a5c562aac11e2d08b9203476ac1ce4734a8b3f,Resilient Packet Forwarding: A Reinforcement Learning Approach to Routing in Gaussian Interconnected Networks with Clustered Faults,2025,arXiv.org,1
,485c5be3e7c0e24693973a321e6c87d44fc6e500,Reliable Navigation Learning in Stochastic Transportation Networks with Uncertain Topology,2022,2022 3rd International Conference on Pattern Recognition and Machine Learning (PRML),1
,feed40735e004dc9a194c99dd2a20033475e8467,Latency-Aware Routing and Spectrum Assignment with Deep Reinforcement Learning,2022,International Workshop on the Design of Reliable Communication Networks,1
,fc1c87d49ee5d8d42271a470225a341ebafde202,Intelligent path selection algorithm for tactical communication networks enhanced by link state awareness,2025,Frontiers Commun. Networks,0
,6bef8bc69f84f8637ed6ba4c728acf451906360f,A Deep Reinforcement Learning Framework for Real-Time Vehicle Routing with Dynamic Traffic Conditions,2025,2025 IEEE International Conference on Recent Advances in Systems Science and Engineering (RASSE),0
,00f64549be3615f6e1dd45223fcd5864c4d06a58,A Hybrid Deep Reinforcement Learning Routing Method Under Dynamic and Complex Traffic with Software Defined Networking,2024,International Conference on Advanced Information Networking and Applications,0
,20ee7e4cb184d70e53fcd4e38fa2b94521b494ca,Stateless and Proactive Routing for Dynamic Multicast With Deep Reinforcement Learning,2025,IEEE Transactions on Networking,0
,b7e2ec71ea21081227387b86715b19103b282fcc,Research on Dynamic Waste Collection Routing Optimization Based on Deep Learning and Incremental Reinforcement Learning,2025,2025 6th International Conference on Computer Engineering and Intelligent Control (ICCEIC),0
,49dbed9b8ff4fa098ea01cb5d394b53916870e0d,Dynamic Harris Hawks Optimization and deep reinforcement learning framework for autonomous vehicle path planning,2025,Advances in Production Engineering &amp; Management,0
,2a7143096a52692589cd4c30d5e73babb00319ad,Energy-Efficient Deep Q-Network for Reinforcement Learning in Wireless IoT Routing Protocols,2024,2024 Asian Conference on Intelligent Technologies (ACOIT),0
,50efd97f0a5b0fbe96833b89ae005973d7ad94eb,An Adaptive Dynamic Routing Decision-making Method based on Communication-sensing-computing,2025,International Conference on Networking and Network Applications,0
,e219732e229f567947155597bf14467266fa9412,STPer: Task Scheduling and Traffic Routing with Spatiotemporal Dynamic Perception in Green Computing Power Networks,2025,Global Communications Conference,0
,361c4a3f513fee82f656dfd595fa8795aa74ed94,Improving Energy Consumption in Software Defined Network by Predicting Optimized Flow Routing Using Deep Learning Method,2024,International Journal of Computer Networks And Applications,0
,cb2fa31c7e74ab75c1e7600b5e8311fbed3dd984,Intelligent Routing in Connected Autonomous Vehicles using the ADAPT-S Learning Architecture,2025,"International Conference Electronic Systems, Signal Processing and Computing Technologies [ICESC-]",0
,191f385843a964c5c68a627b1b9d7747f1cd3c74,Hybrid Quantum-Classical Routing for QKD-ON: Leveraging QAOA and QVE for Minimizing Blocking,2025,Conference Information and Communication Technology,0
,186849bba703b4fcf7a2e77de143730b4d37b941,Real-Time Charging and Routing for Electric Long-Haul Trucks via Reinforcement Learning,2025,European Conference on Cognitive Ergonomics,0
,42fa372c080c515df884c87043914c9d02a5583b,Research on Dynamic Path Planning for Autonomous Vehicles Based on Reinforcement Learning,2024,2024 6th International Academic Exchange Conference on Science and Technology Innovation (IAECST),0
0,4ff4fc8c5c6e5c07b2ad4fa980b0c479ef1dfc5c,Population Game-Assisted Multi-Agent Reinforcement Learning Method for Dynamic Multi-Vehicle Route Selection,2024,Electronics,0
,49c7383a5bd0393f81e7bd4922771f50add3ef92,Deep Q-Learning-based Route Optimization for Traffic Network,2025,International Conference on Artificial Intelligence in Engineering and Technology,0
,5fa1d3905dd0aa042d03f4accde60f2f93f936e9,An AI-Powered Predictive Traffic Routing Framework for Telecommunications Network Performance Improvement,2023,International Journal of Advanced Multidisciplinary Research and Studies,0
,fbbafc0e65b91b6b2b8b3749d59b9617c5cff777,Autonomous Vehicle Navigation with Deep Learning: A Comprehensive Review,2025,"International Journal of Research and Review in Applied Science, Humanities, and Technology",0
,a9416c5aa3e23472b8ff91a8985110588c353537,Deep Q-Learning for Autonomous Vehicle Navigation in Smart Mobility,2025,"International Conference on Circuit, Power and Computing Technologies",0
,ceeeca845f1cf4723dd69af22ac580d6b6bf5268,Intelligent Routing in MANETs: Bridging AI and Protocol Design for Next-Gen Networks,2025,Journal of Information Systems Engineering & Management,0
,edb8044ff097683aa1224a75e460fac737a0b063,Reliable Multihop Routing and Congestion Aware Chicken Swarm Optimization in Vehicular Ad-Hoc Network,2025,2025 3rd International Conference on Integrated Circuits and Communication Systems (ICICACS),0
,4f2c94e01ec97425f7c6d0fc469e81ec190b1845,QLB-IoT: Intelligent and Trust-Aware Routing for IoT-Edge Networks With Blockchain-Assisted Q-Learning,2025,IEEE Internet of Things Journal,0
,f5d04e9bbbcc5aa5078133aa310ceeddb24bf1b9,Fully Distributed Multi-Agent RL Framework for QoS Routing,2023,2023 IEEE Future Networks World Forum (FNWF),0
,1ae0bc8360cd141618639b1eb6d30b08a6533445,Hybrid DCGAN-based Framework for Robust and Efficient Vehicle Path Planning in Autonomous Driving,2025,2025 International Conference on NexGen Networks and Cybernetics (IC2NC),0
,7154be7d8a01a8bc423bffffd0c2bc7c1bd3458e,A Service Customize Routing Method Based on Software Defined Network Using Deep Q-Network,2024,International Conference on Networking and Network Applications,0
,862427f6e9d137f9ad8ade43df9f7c2ff85c4fd4,Path Planning of Intelligent New Energy Vehicles Based on DQN,2025,"2025 5th International Conference on Electronics, Circuits and Information Engineering (ECIE)",0
,fea1f4f5807742d470b40ca381d711378c0041f4,Path Planning Strategy Optimization of Autonomous Driving Decision System Based on Reinforcement Learning,2025,"2025 5th International Conference on Electronics, Circuits and Information Engineering (ECIE)",0
,258afa0747f93f4409f76f2964b59d770bd7a66a,Adaptive vehicle routing for humanitarian aid in conflict-affected regions: a practitioner-informed deep reinforcement learning approach,2025,Frontiers in Future Transportation,0
,1a49d41b886d930c0dc6c44eb7b92793366494a7,Deep Reinforcement Learning for Large-Scale Efficient Routing of Electric Vehicles,2024,"2024 International Conference on Automation in Manufacturing, Transportation and Logistics (ICaMaL)",0
,1e97e730890c7a3cc015285997de3a687ea883b3,Reinforcement Learning and Mechanism Design for Routing of Connected and Autonomous Vehicles,2023,Adaptive Agents and Multi-Agent Systems,0
,a2430ee66d766ee25c597412301b3269c9dae3ad,Network-Constrained Policy Optimization for Adaptive Multi-agent Vehicle Routing,2025,arXiv.org,0
,c2b3cdfe925be05a8fb172b82825c8aa7066f2c2,Adaptive Path Planning for Autonomous Vehicles in Adverse Driving Conditions and Aggressive Scenarios: A TD3-Based Multimodal Approach,2025,2025 International Conference on Advanced Machine Learning and Data Science (AMLDS),0
,55382f2fc8b0d2769e0e2af37f2e144b23a4448c,Minimising Regret in Route Choice,2017,Adaptive Agents and Multi-Agent Systems,0
,42a95dc0a19e60b14f853fc4463ae974080ef241,Application of Machine Learning in Routing and Wavelength Assignment: Literature Survey,2021,,0
,7ead3d6dfb1636c6928ab2d8dceead709b05d0db,Deep Reinforcement Learning for Dynamic Origin-Destination Matrix Estimation in Microscopic Traffic Simulations Considering Credit Assignment,2025,arXiv.org,0
,f552ca3bbef6ad93257ac8b80bb0b4cc7d5f8c17,PSOA-CRL: A Hybrid Multi-Objective Routing Mechanism Using Particle Swarm Optimization and Actor-Critic Reinforcement Learning For VANETs,2025,Mesopotamian Journal of Big Data,0
,8558521fff3ed0a56b282dfaa2ff64853cacddb5,A Comparative Study of DRL Algorithms for Path Planning of E-Scooters in AIoT Urban Environments,2025,2025 IEEE Annual Congress on Artificial Intelligence of Things (AIoT),0
,b9ab6eee49d3494ef3a1d97bb8c3b392aaabda85,Safety?Efficiency Balanced Navigation for Unmanned Tracked Vehicles in Uneven Terrain Using Prior-Based Ensemble Deep Reinforcement Learning,2025,World Electric Vehicle Journal,0
