idx,title,OD_conditioned,OD_quote,generalization_mechanism,gen_quote,predictive_representation,pred_quote,reward_temporality,rt_quote,reward_alignment,align_quote,compliance_stated,comp_quote,action_feasibility_constraint,actfeas_quote,algorithm_family,source
39,A Data-Driven Reinforcement Learning Based Multi-Objective Route Recommendation System,yes,"the agent creates a reward table based on the road network graph (i.e., G = (N,E)), destination node nd, and the given user's preference",none,one Q-value table is created for the present combination of the road network graph and given user preferences,local-prediction,"we utilize the existing predictors for air quality, travel time, and fuel consumption estimations to update the road network graph periodically",predicted,"we combine the given user preference and all predicted values of travel time, fuel consumption, and air quality of the edge",individual,"considering the given user's preference for travel time, fuel consumption, and air quality",implicit-100%,the proposed system chooses the edge corresponding to the maximum Q-value from all possible edges,enforced,"the agent considers all possible edges ({ei,l, ei,m, ...ei,u}) from the current node (ni)",Tabular Q-learning (Watkins & Dayan) with per-destination reward/Q-value adjacency-matrix tables,full-text
40,Emergency vehicle rescue route optimization based on deep reinforcement learning in highway network,unclear,N/A (abstract does not describe state representation),unclear,N/A (abstract does not describe generalization mechanism),unclear,N/A (abstract does not describe predictive state representation),step-wise,"road network nodes are prioritized based on the spatial transfer scale, and a corresponding reward scheme is designed",individual,this paper proposes a deep reinforcement learning-based method to optimize the rescue routes of EVs on the highway,unclear,N/A (abstract does not describe compliance modeling),action-masking,the action masking technique is applied to reduce the dimension of the action space during the decision-making of the agent,"DRL (specific algorithm unnamed in abstract), combined with action masking",abstract-only (no PDF available)
41,Autonomous Vehicle Routing Optimization in a Competitive Environment: A Reinforcement Learning Application,yes,there are 50 agents whose destination is randomly assigned to one of the destination nodes,none,"This paper considered two different network sizes, three by three and six by six, to reduce the amount of computational needs",none,"Each intersection is known as a state. For the Scenario, possible actions are D and R",step-wise,reward of each state is based on the time to get to that state from previous states,individual,"when all of the agents are trying to maximize their utility, and if the intelligent agents have conflicted interests",implicit-100%,intelligent agents are connected to the controller that can provide them with the shortest path,enforced,"an agent cannot move outside the network. Also, an agent cannot pass its destination vertically",Tabular Q-learning (Watkins & Dayan) with reverse-order Q-matrix updates,full-text
42,Multi-objective route recommendation method based on Q-learning algorithm,unclear,N/A (abstract does not describe state representation),unclear,N/A (abstract does not describe generalization mechanism),unclear,N/A (abstract does not describe predictive state representation),unclear,N/A (abstract does not describe reward structure),individual,generates recommended routes that satisfy the requirements of different scenarios by combining user preferences,unclear,N/A (abstract does not describe compliance modeling),unclear,N/A (abstract does not describe action space constraints),Tabular Q-learning with dynamic exploration factor and initialized value function,abstract-only (PDF password-protected)
43,Agent-Based Route Planning with Deep Q Learning,yes,two coordinate data for the position information of the target point,none,"In the SUMO simulation environment, 12 interconnected roads are created. All roads in the system have 4 lanes",none,"three status information expressing the vehicle congestion on the neighboring roads, two coordinate status information indicating the location",step-wise,"The cumulative reward, on the other hand, proceeds by adding the reward value after each decision region",individual,The agent expects to take the waiting passenger to the desired location in the fastest way possible,implicit-100%,"In cases where the agent does not have the right to explore, it takes the action corresponding to the largest Q value",enforced,the agent is not free to select all the elements of the action space when it comes to such intersections,"Deep Q-Network (4-layer neural network, epsilon-greedy exploration)",full-text
44,Urban traffic dynamic rerouting framework: A DRL-based model with fog-cloud architecture,unclear,N/A (abstract does not clarify whether GAQ's road-index decision is destination-conditioned),graph-inductive,"GAQ analyzes the traffic conditions on each road and for each fog area, and then assigns a road index based on the information attention",unclear,N/A (abstract does not describe explicit predictive rollout capability),unclear,N/A (abstract does not describe reward structure),system,vehicle rerouting using the proposed model can help attain higher speed and reduces possibility of severe congestion,unclear,N/A (abstract does not describe compliance modeling),unclear,N/A (abstract does not describe action space constraints),"GAQ (Graph Attention Network - Deep Q Learning) combined with EBkSP (Entropy-Based k-Shortest Path), fog-cloud architecture",abstract-only (PDF password-protected)
45,Realtime vehicle route optimisation via DQN for sustainable and resilient urban transportation network,unclear,N/A (abstract does not describe state representation),unclear,N/A (abstract does not describe generalization mechanism),unclear,N/A (abstract does not describe predictive state representation),unclear,N/A (abstract does not describe reward computation basis),individual,"reduce the travel time for emergency vehicle (resilience), and reduce vehicle emissions for general vehicle (sustainability)",unclear,N/A (abstract does not describe compliance modeling),unclear,N/A (abstract does not describe action space constraints),DQN (Deep Q-Network),abstract-only (PDF password-protected)
46,Optimizing Traffic Routes With Enhanced Double Q-Learning,unclear,N/A (abstract does not describe state representation),unclear,"N/A (abstract does not describe generalization mechanism; scalability across network sizes tested, not transfer)",unclear,N/A (abstract does not describe predictive state representation),unclear,N/A (abstract does not describe reward structure),unclear,N/A (abstract discusses travel time/congestion reduction without distinguishing individual vs. system objective),unclear,N/A (abstract does not describe compliance modeling),unclear,N/A (abstract does not describe action space constraints),"Double Q-Learning enhanced with Prioritized Experience Replay (DQL-PER), compared to Q-learning, DQL, and DQN",abstract-only (PDF password-protected)
47,Multi-agent deep reinforcement learning based on cloud-edge computing for urban vehicle route guidance,unclear,N/A (no abstract or full text available),unclear,N/A (no abstract or full text available),unclear,N/A (no abstract or full text available),unclear,N/A (no abstract or full text available),unclear,N/A (no abstract or full text available),unclear,N/A (no abstract or full text available),unclear,N/A (no abstract or full text available),Multi-agent deep reinforcement learning based on cloud-edge computing for urban vehicle route guidance (title only; algorithm family stated as multi-agent DRL),"abstract-only (title only, no abstract; PDF password-protected)"
48,Meta-deep q-learning for eco-routing,no,"The agent considers the intersection at the bottom-left corner as the origin, and the intersection at the top-right corner as the destination",meta-RL,Meta-learning can help the model adapt to a new traffic environment quickly...it is expected to further generalize the model on meta-level learner,none,"The state space is defined as S = {(u, v, r_v, t_v)}...r_v is the traffic signal status flag...t_v is the arrival time when the vehicle arrives at intersection v",realized,Each link-based cost is obtained by averaging the costs of all the vehicles that drive through the link over a short period of time,individual,drivers' different preferences on saving travel time and fuel consumption,implicit-100%,The vehicle that requests eco-routing service downloads the model from the remote data center...applied to the concerned vehicle for its eco-routing,enforced,"consists of 16 signalized intersections, 18 two-way links, and 6 one-way links",DQN (multi-objective meta-deep Q-learning / MOM-DQL),full-text
49,Sharing diverse information gets driver agents to learn faster: an application in en route trip building,no,"Nodes n in N are seen as states the agents might be in, and the outgoing edges of a node n are the possible actions for that given state",none,"In Q-learning, the agent keeps a table of Q-values that estimate how good it is for it to take an action a in state s",local-prediction,"the infrastructure communicates to the agent information about the state of the nearby edges, in terms of which rewards an agent can expect if it selects to use that particular link",realized,"Upon choosing an action (edge) e, v perceives its reward...this reward is actually computed by the simulator, rather than by an abstract cost function",individual,"the reward is -t^v_e, as we want to make sure the agents prefer to take edges that minimize travel times",implicit-100%,"an agent chooses to follow the optimal values with a probability 1 - epsilon, and takes a random action with a probability epsilon (agent is itself the vehicle acting in the simulator)",enforced,the outgoing edges of a node n are the possible actions for that given state,MARL tabular Q-learning with C2I communication augmentation,full-text
50,Regional route guidance with realistic compliance patterns: Application of deep reinforcement learning and MPC,unclear,"utilizes regional approaches (i.e., network-level macroscopic traffic models) to capture traffic dynamics...employing uniformly sampled vehicles as controllable targets",unclear,not specified in abstract; abstract discusses model-based (MPC) vs data-driven (deep RL) solution approaches but no generalization mechanism named,unclear,not specified in abstract,unclear,the balance reward in a deep reinforcement learning-based approach enables controllable agents to reduce trip costs while compromising partial system utility (temporality of reward not specified),mixed,the balance reward in a deep reinforcement learning-based approach enables controllable agents to reduce trip costs while compromising partial system utility,explicit,"These models, however, overlook the inherent nature of individual drivers' compliance...send customized route plans to compliant individuals",unclear,not specified in abstract,MPC-based and deep reinforcement learning-based schemes (multi-agent vs single-agent compared),abstract-only
51,A multiagent reinforcement learning approach to en-route trip building,unclear,No abstract or full text available (title only); cross-referenced in dos Santos & Bazzan (2021): 'this is used to allow agents to learn how to build routes',unclear,"No abstract or full text available; cross-reference only describes macroscopic cost-function approach, no generalization mechanism named",unclear,"cross-referenced only: 'they use a macroscopic perspective by means of cost functions that compute the abstract travel time' (dos Santos & Bazzan 2021, citing this paper)",realized,"cross-referenced only: 'they use a macroscopic perspective by means of cost functions that compute the abstract travel time' (dos Santos & Bazzan 2021, citing this paper)",unclear,No abstract or full text available,unclear,No abstract or full text available,unclear,No abstract or full text available,"Q-learning (MARL, tabular) -- inferred from cross-reference: 'a study conducted by Bazzan & Grunitzki (2016) shows that...the learning rate alpha does not play a major role' (dos Santos & Bazzan 2021)",abstract-only
52,Connected vehicles' dynamic route planning based on reinforcement learning,no,"the state of a vehicle in the road network is expressed as (i,j)...the vehicle is on the road between the two intersections (no destination encoded in state)",none,"the table-record method is more suitable for this case in this study (tabular Q-value approach, no transfer/meta/domain-randomization mechanism described)",none,"these factors are calculated based on real-time road traffic conditions, allowing the algorithm to dynamically select relatively smooth roads (based on current, not predicted, vehicle counts)",realized,"If it is closer to the destination, the agent receives a reward, but if it is farther away, the agent receives a smaller penalty",individual,The agent can adjust its strategy according to the change of state and the feedback from the environment (single vehicle agent reward),implicit-100%,"the agent converts the current road of the connected vehicle into the state (i,j)...calculates the next road Nr according to the strategy it had learned",not-enforced,"If they are not directly connected, a penalty is fed back to the agent (infeasible action penalized rather than masked)",DQN / DDQN / Dueling DQN and proposed dynamical-weighted Q-learning (DWQL),full-text
53,A reinforcement learning scheme for the equilibrium of the in-vehicle route choice problem based on congestion game,unclear,the Bush-Mosteller (B-M) reinforcement learning (RL) scheme is introduced to model the route choice behaviors of the travelers in traffic networks (OD structure not detailed in abstract),none,a distributed algorithm based on B-M RL scheme is devised to solve the TAP (no generalization mechanism mentioned),unclear,not specified in abstract,unclear,not specified in abstract,individual,travelers...aim to seek the optimal travel routes that minimize their individual travel time,implicit-100%,"the route choice behaviors of the travelers in traffic networks (agent's choice is the traveler's own behavior, no separate compliance step described)",unclear,not specified in abstract,"Bush-Mosteller reinforcement learning (learning automata, non-deep)",abstract-only
54,Robust Route Planning with Distributional Reinforcement Learning in a Stochastic Road Network Environment,unclear,Route planning is essential to mobile robot navigation problems (OD conditioning not detailed in abstract),none,our method is evaluated in a simulated road network environment (no explicit generalization mechanism stated),unclear,not specified in abstract,unclear,not specified in abstract,individual,Policies based on the second-order stochastic dominance (SSD) relation can be used to make adjustable route decisions according to user preference on performance robustness,unclear,not specified in abstract,unclear,not specified in abstract,Distributional reinforcement learning (specific algorithm unspecified),abstract-only
55,Deep Reinforcement Learning for Optimizing Route Planning in Urban Traffic,unclear,we use DRL to make autonomous decisions to reduce travel time and congestion of routes (OD conditioning not detailed),unclear,"the model is so adaptable to changing traffic patterns, the model guarantees that (vague, no specific mechanism named)",unclear,"With this rendering of real time traffic data, we use DRL to make autonomous decisions (prediction not explicitly stated)",unclear,not specified in abstract,mixed,we use DRL to make autonomous decisions to reduce travel time and congestion of routes...greatly enhance route efficiency and overall traffic flow management,unclear,not specified in abstract,unclear,not specified in abstract,Deep reinforcement learning (unspecified algorithm),abstract-only
56,Vehicle-Infrastructure Cooperation Framework for Vehicle Navigation and Traffic Signal Control using Deep Reinforcement Learning,unclear,vehicle agents determine the next routing step as vehicles approach intersections (OD conditioning not detailed in abstract),none,modeled as a partially observable Markov decision process (no explicit generalization mechanism named),none,"Based on real-time road condition information, roadside agents can flexibly adjust signal phases, while vehicle agents determine the next routing step",unclear,"Rewards for the vehicle navigation task, based on spatiotemporal dimensions...ensure that reinforcement learning agents continuously improve their traffic efficiency optimization capabilities (temporality unspecified)",mixed,"Rewards for the vehicle navigation task, based on spatiotemporal dimensions, and for the pressure-based signal control task, ensure...traffic efficiency optimization",unclear,not specified in abstract,unclear,not specified in abstract,"Multi-agent RL (vehicle agents + roadside signal-control agents), POMDP-based",abstract-only
57,VEGA: Electric Vehicle Navigation Agent via Physics-Informed Neural Operator and Proximal Policy Optimization,yes,"a Proximal Policy Optimization (PPO) agent that navigates a charger-annotated road graph, jointly selecting routes and charging stops under state-of-charge constraints",graph-inductive,The learned policy generalizes without retraining to road networks in France and Japan,rollout-capable,VEGA produces a feasible 20-stop plan with 56.12h total trip time and minimum SoC 11.41% (indicates whole-route/multi-stop plan rather than single-step local decision),unclear,not specified in abstract,individual,a vehicle-adaptive energy-aware routing system for electric vehicles (EVs) that integrates physics-informed parameter estimation with RL-based charge-aware path planning,unclear,not specified in abstract,enforced,jointly selecting routes and charging stops under state-of-charge constraints,Proximal Policy Optimization (PPO) with behavior cloning initialization and physics-informed neural operator (PINO),abstract-only
58,"Combining Car-to-Infrastructure Communication and Multi-Agent Reinforcement Learning in Route Choice [NOTE: pdf_path content mismatch -- actual PDF read is Santos, Bazzan & Baumgardt 2021 JIDM extended-version paper, not the 2016 ATT@IJCAI paper listed here]",no,"Nodes n in N are seen as states the agents might be in, and the outgoing edges from n are the possible actions associated with that given state",none,"they use the Q-learning algorithm (Section 2.2) to update the value of each pair state-action (tabular, no explicit generalization mechanism)",local-prediction,CommDevs communicate with vehicles and exchange information related to local traffic data...inform the agents about which rewards can be expected from that intersection on,realized,"Upon choosing an action (an edge e), v perceives its reward, which is the negative of its travel time and is given by the traffic simulator",mixed,"propose the use C2I communication to influence road users to learn routes that are not necessarily aligned with individual best solutions, but, rather, with the global optimum",implicit-100%,the agent uses Q-learning (Section 2.2) to update the value of each pair state-action...and selects an edge to continue the trip (agent is the vehicle itself),enforced,the outgoing edges from n are the possible actions associated with that given state,MARL tabular Q-learning with C2I communication plus UE-to-SO biasing mechanism,full-text
59,Applying Markov decision process to adaptive dynamic route selection model,yes,"For the 5 to 5 origin-destination path, as the final state, the reward is assumed to be the maximum number of 10...identify all possible roads between i and j",none,The ADRS model was developed by combining the MDP and a discrete-choice model (no transfer/meta/domain-randomization mechanism described),none,An agent has a set of states S (instances of nodes in a transportation network)...The transition probability in this problem is equal to 1 as routes definitely reach to the specific nodes,realized,"the momentary reward is defined as r(s,a) = lambda(1/t_a(v))...t_a(v) is travel time of link (action) a assuming that the flow volume in this link is v",individual,an agent seeks to find the best solution by experience and trial and error...agents experienced less average delay in arriving at the destination node when using the ADRS,implicit-100%,"1000 agents were simulated, each of which used the proposed ADRS method, the Nadi-Edrisi MDP...and the DPM for their route selection process",action-masking,"an agent can pass each node only once so, when necessary, the second best node must be selected to avoid backtracking...These constraints do not allow users to pass the limited paths for a specific time",Q-learning (tabular MDP) combined with multinomial logit discrete-choice model (ADRS),full-text
60,A Sustainable Multi-Agent Routing Algorithm for Vehicle Platoons in Urban Networks,unclear,"abstract only describes ""adequately track the assigned path by using real-time traffic data""; no statement that policy is conditioned on arbitrary OD pairs",unclear,no transfer/domain-rand/meta-RL/graph-embedding mechanism mentioned in abstract,unclear,abstract gives no description of state representation or prediction of future traffic,unclear,"abstract states goal is ""reducing traffic congestion and CO2 emissions"" but does not specify whether reward uses realized or predicted values",unclear,"platoon-level framing (""platoon of five vehicles"") without explicit individual-vs-system reward statement",unclear,no discussion of driver/vehicle compliance with assigned routes,enforced,the MPC unit allows to adequately track the assigned path by using real-time traffic data,DRL + MPC (hybrid),abstract-only
61,Distributed Learning for Vehicle Routing Decision in Software Defined Internet of Vehicles,unclear,"abstract discusses ""real-time vehicle routing decision"" without stating whether policy is OD-conditioned",unclear,no generalization mechanism (transfer/domain-rand/meta-RL/graph-inductive/context-conditioning) is mentioned,unclear,no description of state representation or prediction capability in abstract,unclear,no reward formulation detail given,unclear,"""alleviate traffic congestion with the dynamic changes of the road environment"" suggests a system-level goal but reward function is not described",unclear,no discussion of compliance,unclear,no discussion of feasibility constraints on routing actions,MARL (distributed multi-agent RL),abstract-only
62,Proactive Urban Expressway Guidance: A Hybrid Approach Using Reinforcement Learning and Traffic Prediction Models,yes,"introduces a differentiated guidance approach with multiple origin-destination (OD) pairs, replacing the conventional all-or-nothing route guidance strategies",none,"each agent controls the trafﬁc ﬂow of one OD pair; action is the route division/distribution of vehicles among the feasible paths of the corresponding primary OD, in which the path set is predetermined",rollout-capable,a twin SUMO model is created to make near-future trafﬁc predictions... agents in the proposed TP-RLNG regards predicted trafﬁc condition (given by the prediction module) as their states,realized,"we employ the API in SUMO to approximate vehicular travel times. This estimation, while not reﬂecting the precise travel durations, serves as an indicator of the overall congestion levels within the road network",system,"the cumulative reward for each agent is denoted as Ri, and is uniform across all agents... a fully cooperative framework is employed",partial-modeled,"scenarios with compliance rates 80% and 90% are simulated, and noise levels of 10% and 20% are introduced into the prediction module",unclear,"the output action is the initial diversion strategy of the controlled vehicle, which, once determined, must adhere to the chosen route without any en-route diversion (no explicit statement of masking/enforcement mechanism for feasibility of the diversion vector itself)",MARL actor-critic (VDAC),full-text
63,A Bi-Level Network-Wide Cooperative Driving Approach Including Deep Reinforcement Learning-Based Routing,unclear,"abstract describes ""dynamic routing problem is considered in the upper level"" without stating explicit OD-pair conditioning of the routing policy",unclear,no transfer/domain-rand/meta-RL/graph-inductive mechanism described in abstract,unclear,abstract does not describe the state representation or any predictive/rollout component of the upper-level routing model,unclear,abstract does not specify whether the routing reward is based on realized or predicted travel outcomes,mixed,thereby improving efficiency for both individual vehicles and global traffic systems,unclear,no discussion of driver compliance with routing decisions,unclear,"lower-level MCTS handles right-of-way assignment, but abstract does not state whether the upper-level routing action space is itself constrained/masked for feasibility",MARL + MCTS (hybrid bi-level),abstract-only
64,Self-Organized Routing for Autonomous Vehicles via Deep Reinforcement Learning,unclear,abstract discusses vehicle-level routing decisions under limited traffic information without explicit statement of OD-conditioning,unclear,vehicles can only access localized traffic information; no transfer/domain-rand/meta-RL/graph-embedding mechanism stated,unclear,abstract does not describe any predictive state or rollout mechanism,unclear,no explicit statement of realized vs. predicted reward basis,mixed,we propose a novel reward mechanism to harmonize indirect interactions among vehicles by jointly learning individual and overall efficiency,unclear,no discussion of compliance,unclear,no discussion of action feasibility constraints,DRL (decentralized/independent agents),abstract-only
65,Graph Convolutional Network Based Multi-Objective Meta-Deep Q-Learning for Eco-Routing,no,"the state is defined as X = [traffic signal status, travel time, position of the subject vehicle]; the origin and destination of the target vehicle are set as two fixed locations for a given learning/testing environment, with no destination feature encoded in the state used by the action-value function",meta-RL,"GM2DQL applies the GCN for feature representation, OLS for multi-objective solution, and meta-learning for training",none,We bypass the vehicle trajectory prediction and fuel/energy consumption prediction... historical real-world trajectories and measured instantaneous fuel consumption data are collected from on-road vehicles and directly utilized to train a model,realized,link-based costs are calculated by averaging the costs of all vehicles that drive through a particular link over a short period of time... The reward r is defined as a vector that contains the negative values of costs after an action is taken,individual,the agent is trained under a series of learning environments...GM2DQL can explore the optimal routes with respect to drivers' different preferences on saving fuel and travel time,unclear,no discussion of driver compliance with the predicted eco-route,unclear,"action set A = {left, right, straight} is defined per intersection; no explicit statement of masking infeasible turns (e.g., one-way restrictions) beyond the graph's edge connectivity",DQN (GCN-based meta-deep Q-learning),full-text
66,SEGAC: Sample Efficient Generalized Actor Critic for the Stochastic On-Time Arrival Problem,yes,SEGAC updates the ego vehicle's navigation policy in a sample efficient manner...and is automatically adaptive to new destinations,context-conditioning,is automatically adaptive to new destinations... the pre-trained SEGAC policy network enables its real-time decision-making ability within seconds,unclear,abstract does not describe the internal state representation or any explicit rollout/local-prediction mechanism,unclear,abstract does not specify whether reward is computed from realized or predicted travel-time values,individual,SEGAC updates the ego vehicle's navigation policy...reduces the variance of both value network and policy network during training,unclear,no discussion of driver compliance,unclear,no discussion of action feasibility constraints,Actor-Critic (SEGAC),abstract-only
67,GE-DDRL: Graph Embedding and Deep Distributional Reinforcement Learning for Reliable Shortest Path: A Universal and Scale Free Solution,yes,"GE-DDRL is able to generalize its estimation of the routing policy's travel-time distribution to untrained destination nodes, and hence achieve the 'all-to-all' navigation functionality",graph-inductive,we employ one of the canonical graph embedding techniques (Skip-Gram) to compress the nodes' representation into d-dimensional real-valued vectors,none,"GE-DDRL presumes that the underlying transportation network has a stationary and independent travel time distribution. However, it does not need the explicit modelling of the travel time distribution as inputs",realized,"the immediate reward r is the sampled travel time of Edge i j, i.e., ci j",individual,"the proposed algorithm, namely GE-DDRL, possesses the characteristic of offering the generalized travel-time distribution estimation and thereby is able to navigate the ego vehicle to the unforeseen destination node",implicit-100%,"the state transition function P is a deterministic function, which transports the vehicle to the end node of the current executing link",action-masking,we propose a pruning algorithm to filter out the sub-optimal policy in the exploration step...if check_feasibility(a) then if LET_cost(a) < LET_cost(st) then add a into A'(st),"Distributional RL (FPN-QVN, graph embedding)",full-text
68,Shortest-Time Path Planning Under Carbon Emission Constraints via Reinforcement Learning,yes,"sustainable intelligent transportation systems must support green path planning that simultaneously accounts for arbitrary origin-destination (OD) pairs, strict emission constraints, and large-scale concurrent requests",context-conditioning,"adopts a dual-tower Universal Value Function Approximation architecture based on Deep Q-Networks (UVFA-DQN), integrating topological embeddings with contextual features",unclear,abstract does not describe a predictive state or rollout mechanism beyond the value-function architecture,unclear,abstract does not specify whether reward is computed from realized or predicted emission/time outcomes,individual,"supports large-scale batch inference with throughput exceeding tens of thousands of paths per second (each path optimized as an individual routing request, no system-wide coordination described)",unclear,no discussion of driver/vehicle compliance,enforced,"generates real-time, scalable, and emission-compliant routing solutions under hard carbon constraints...able to generate feasible and structurally consistent paths even when classical constrained shortest-path algorithms fail due to insufficient budgets",DQN (UVFA-DQN),abstract-only
69,DRL Router: Distributional Reinforcement Learning-Based Router for Reliable Shortest Path Problems,yes,"Let ( o, d) be a user-specified origin-destination (OD) pair...the state of the vehicle X(st) is the vehicle's located vertex...the absorbing state is vertex d",none,"no graph-embedding, transfer, domain-rand or meta-RL mechanism is described; the policy is trained for a specified OD pair rather than generalized to unforeseen destinations (contrast with the same authors' later GE-DDRL extension)",none,"the test network...consists of five vertices...and four edges, each of which follows a different travel time distribution (Normal/Lognormal/Gamma/Weibull), i.e. a fixed/stationary per-edge distribution rather than a dynamically predicted one",realized,"the immediate reward rt+1 is the sampled travel time of edge ij, i.e., cij",individual,"a traveler wants to catch up a flight, and his or her original objective is to arrive at the airport before 5:30 p.m....DRL-Router updates the ego vehicle's navigation policy",implicit-100%,"the state transition function P is a deterministic function, which transits the vehicle to the end node of the current executing link",unclear,action set at each vertex is simply the outgoing edges A(s); no explicit masking/enforcement mechanism for feasibility beyond graph connectivity is described,Distributional RL (C51-based DQN),full-text
70,Optimization Path Planning Algorithm Based on Deep Reinforcement Learning,unclear,"performance indexes discuss ""the distance from the starting point to the end point"" without stating whether the policy is conditioned on arbitrary OD pairs",unclear,no transfer/domain-rand/meta-RL/graph-inductive mechanism is described,local-prediction,The prediction function of DRL model predicts the future state or output of the model based on historical input and output information and future input information,step-wise,"the reward function includes the reward of reaching the target node, the reward of avoiding congestion and so on",individual,so as to fully consider the actual traffic flow and provide accurate route suggestions for users,unclear,no discussion of driver compliance with suggested routes,unclear,"no discussion of action feasibility constraints (e.g., masking of infeasible turns)",Actor-Critic,full-text
71,Research on Emergency Rescue Path Optimization Method Based on Deep Reinforcement Learning,unclear,focuses on production safety accident-induced congestion for a single emergency scenario; abstract does not state whether the policy generalizes across arbitrary OD pairs,unclear,no transfer/domain-rand/meta-RL/graph-inductive mechanism mentioned in abstract,unclear,abstract does not describe a predictive state or rollout mechanism,unclear,abstract does not specify whether reward is based on realized or predicted congestion/travel-time values,individual,"the proposed method reduces emergency vehicle arrival time by 27.3% compared to traditional algorithms, and 12.8% over standard DQN",unclear,no discussion of compliance,unclear,no discussion of action feasibility constraints,DQN (PERDQN with attention mechanism),abstract-only
72,Safety-Aware Path Planning for Post-Disaster Rescue Vehicles,no,"This thesis studies a single accident point, but in actual environment, there may be multiple accident points.",none,"Our next work will focus on the multi-objective path planning problem, which is more practical.",local-prediction,"designs a Transformer-based prediction algorithm, which predicts whether a path is congested or at risk based on the environmental and resource characteristics of the path",unclear,This metric indicates the total rewards obtained by the agent during a training round.,individual,"improve the rescue efficiency of emergency rescue vehicles, and ensure driving safety",implicit-100%,adjusts the global path of emergency rescue vehicles in real time to avoid congested paths and risky paths,enforced,emergency rescue vehicles should avoid paths that may be risky and congested during driving,DQN (with Transformer-based prediction module; authors' PDQN),full-text
73,A Multi-Agent Deep Reinforcement Learning Framework for Dynamic Path Planning in Autonomous Vehicles,unclear,learn how to drive safely and efficiently while reaching its destination as soon as feasible,unclear,"capable of managing intricate road networks with a variety of vehicle kinds, which bodes well for practical applications",unclear,This enables the vehicles to foresee issues and make informed judgements in response to their surroundings.,unclear,"It responds to changing situations more quickly, is safer, and is more efficient.",mixed,Each car is viewed by the system as a team member that competes with other cars while also working together.,unclear,uses real-time IoT data collected from the cloud streaming to improve situational awareness and help all self-driving cars,unclear,"accounting for the locations of other cars, obstructions, and changes over time","multi-agent DRL (MARL, base algorithm unspecified)","abstract-only (matched PDF file was password-protected and title-mismatched, could not be read)"
74,Path Planning in Urban Environment Based on Traffic Condition Perception and Traffic Light Status,yes,"saving on driving time and waiting time to reach any destinations, compared to the existing solutions",unclear,it is difficult to design a reasonable cost function for the deterministic algorithm or a reasonable heuristic function,none,"it senses the traffic light status, distribution and vehicle positions in the road network on each road section through V2V and V2I communication",unclear,we use an A2C-based deep reinforcement learning method to dynamically plan the shortest path for the vehicle in real time,individual,we use an A2C-based deep reinforcement learning method to dynamically plan the shortest path for the vehicle in real time,unclear,Experiments show that the proposed method works effectively in terms of saving on driving time and waiting time,unclear,"considering the effects of pedestrians, traffic lights, etc.",A2C,abstract-only
75,Autonomous Vehicles in Smart Cities: a Deep Reinforcement Learning Solution,unclear,perform Routing actions in real-time while considering the actual traffic situation on the overall road network,unclear,allowing the use of complex operating scenarios and the integration of information coming from road maps and vehicle state trajectories,none,perform Routing actions in real-time while considering the actual traffic situation on the overall road network,unclear,the proposed algorithm can successfully realize real-time routing decisions and improve accumulated waiting time,unclear,improve accumulated waiting time although the dynamic changes inside the road environment,unclear,"a co-design procedure, involving a microscopic traffic simulator and MATLAB environment, is implemented",unclear,allowing the use of complex operating scenarios and the integration of information coming from road maps,DRL (specific algorithm unspecified in abstract),abstract-only
76,Intelligent Routing in Connected Autonomous Vehicles using the ADAPT-S Learning Architecture,unclear,"enable edge-aware, real-time routing decisions for connected vehicle networks",other,enhanced with attention mechanisms for context-sensitive navigation,unclear,Ant colony optimization is used to refine global routing paths through pheromone-inspired collective learning,unclear,ensuring adaptive optimization under dynamic traffic conditions,mixed,"achieving decentralized coordination, scalability, and responsiveness in connected autonomous vehicle routing systems",unclear,Each vehicle functions as an intelligent agent trained via a multi-agent actor-critic deep reinforcement learning model,unclear,"outperforming traditional routing methods in reducing travel time, congestion, and signal wait periods",multi-agent actor-critic DRL + ant colony optimization (hybrid MARL),abstract-only
77,Situation-aware Path Optimization for Autonomous Systems: A Deep Reinforcement Learning based Approach,yes,"an input layer corresponding to 8 features: start node, end node, time, day, vehicle count, weather, road condition, and special event",none,"Broader validation, including live deployments, handling rare or outlier real world events, and testing transferability to diverse cities or larger networks",rollout-capable,"For every potential path, IRO invokes adaptive Monte Carlo sampling to quantify travel time variability and the probability of events that could impact the route",step-wise,The multi-objective reward function is defined as R = α1 · (−time) + α2 · speed + α3 · (−queue) + α4 · safety,individual,"selecting routes that optimize not only for speed but also for risk, congestion, and environmental safety across various transport modes",implicit-100%,"Once the DQN selects the best route, travel times were estimated for three different modes of transport using the Monte Carlo approach",unclear,"a Deep Reinforcement Learning agent equipped with a deep Q-network evaluates a broad action space, selecting routes",DQN (PathSelectionDQN) within an NN+HMM+Monte-Carlo pipeline,full-text
