idx,title,OD_conditioned,OD_quote,generalization_mechanism,gen_quote,predictive_representation,pred_quote,reward_temporality,rt_quote,reward_alignment,align_quote,compliance_stated,comp_quote,action_feasibility_constraint,actfeas_quote,algorithm_family,source,boundary_condition,boundary_quote,trip_completion_reported,tc_quote,code_release,code_quote,access_note,algorithm_family_coarse
35,GAQ-EBkSP: A DRL-based Urban Traffic Dynamic Rerouting Framework using Fog-Cloud Architecture,no,"state space includes two parts: node feature at each time step t: Xt; and adjacency matrix at each time step t: At...Both vehicles can be detected by fog nodes and share the same destination, but their origins are various",none,,local-prediction,the vehicles have no 'future planning' and cannot choose superior routes jointly. This is the main reason why the proposed model achieves a higher reward,step-wise,we have speed increase reward and speed decrease penalty with threshold of 5 m/s (11 mph),system,"In the reward function, we consider both reward and penalty based on average vehicle speed in the network. The purpose of the proposed dynamic rerouting framework is to maintain and enhance the RVs' efficiency",partial-modeled,Rerouting Vehicles (RV) which are rerouted by implementing the connectivity technology...Background Vehicles (BV) which are not rerouted but are incorporated to add randomness and dynamics in the network,unclear,"each fog node has a discrete action space representing the potential road index of the area: ai = {0, 1, 2, 3, 4}",GAQ: Graph Attention Q-Network (DQN-based),full-text,boundary-open-addressed,"BVs (colored white) enter to the map from 8 roads, while RVs (colored green) enter to the map from the 3 roads located right side of the network: two from the top, one from the bottom.",not-reported,,not-stated,,full-text,DQN-family
36,Providing real-time en-route suggestions to CAVs for congestion mitigation: A two-way deep reinforcement learning approach,yes,"Given an OD pair w in W, the set of decision nodes Dw is fixed... we designed separate but virtually connected sub-networks for each decision node given an OD pair.",context-conditioning,"to reduce the number of neural networks, OD pairs with the same destination can share the same actor and critic networks for any decision nodes they have in common, because the CAVs at a same decision node traveling to a same destination can be treated as homogeneous.",none,"the environment state s in S is the traffic condition. Specifically, we use the travel time of each link to represent the state.",step-wise,"After taking an action at a decision node at time step t in T, the CAV travels on the subsequent links until it reaches the next decision node at time t' in T. At the new decision node, the CAV will receive a reward r in R that is associated with the travel time it took from the last decision node.",mixed,"CAVs conduct real-time learning to minimize their individual travel time, while the information provider offers real-time route suggestions aiming to minimize the system's total travel time.",explicit,"we do not enforce CAVs to follow the suggestions. Instead, they are intelligent agents that conduct learning. Therefore, the additional reward aimed at encouraging CAVs to follow the suggestions is needed to help meet the premise of CE.",enforced,"the CAV chooses a subsequent link a to travel from its action set An,w, which contains all the available links it can take at the decision node n in Dw.","custom two-way DRL: Markov game for CAV agents + single-agent MDP for information provider, with Correlated Equilibrium formulation",abstract-only (PDF password-protected),not-addressed,,not-reported,,not-stated,,"full-text (re-coded, all 10 fields)",MARL
37,Real-time system optimal traffic routing under uncertainties - Can physics models boost reinforcement learning?,no,,none,"TransRL, PPO, and SAC were trained on all three scenarios with the same observation definition, action definition, and reward function.",none,,step-wise,the number of leaving/finished vehicles at the end of time interval t,system,The objective of the control algorithm is to minimize the total expected travel time of all vehicles within the transportation network.,implicit-100%,A small portion of vehicles are assumed to follow routing guidances by a centralized control algorithm,enforced,,"TransRL: physics-model-guided actor-critic RL distilled from a deterministic teacher policy, benchmarked against PPO and SAC",abstract-only (PDF password-protected),boundary-open-addressed,"An alternative and more practical way is to use the number of vehicles leaving the controlled road network during each time interval, which can be retrieved by monitoring the periphery of the controlled road network.",not-reported,,not-stated,,"full-text (re-coded, all 10 fields)",Policy-gradient-AC
38,Network-Constrained Policy Optimization for Adaptive Multi-agent Vehicle Routing,yes,"State of query q, sq. The state of a query q is defined as the unique representation of its destination intersection, denoted as [q-id]; Destination Hub Embedding Emb(hd): The Z-order embedding of the vehicle's destination hub hd; Distance to Destination: The normalized static network distance from hj to the destination hub hd",other,"We propose using the Z-order curve to create unique, linearly separable intersection IDs that partially preserve locality while maintaining a low dimension; leveraging Graph Attention Networks (GAT) for neighbor communication and emergent coordination",local-prediction,"Hub agents use flow-aware state features that combine local congestion and predictive dynamics for proactive routing; Estimated Travel Time: A normalized estimate of travel time from hk to neighbor hj, reflecting real-time conditions; Vicinity Speed: This radius captures approaching and departing traffic, providing predictive insights into potential congestion",step-wise,"The reward is defined as the negative time difference between consecutive queries in the vehicle's path: DeltaT = (q'-t) - (q-t), r(a(s_tau_q)) = -DeltaT",mixed,r(a(s_tau_q)) = -DeltaT (base per-vehicle segment-time reward); The use of a global reward and state ensures that agents are incentivized to learn collaborative policies that improve overall traffic flow rather than only optimizing local metrics.,implicit-100%,The router q.u... responds to q with a routing decision,enforced,"A road rk is considered connected to r if the intersection's traffic rules allow travel from r to rk (e.g., no U-turns or prohibited turns)","Hierarchical MARL: decentralized intersection agents (Adaptive Navigation) with GAT, extended by Hierarchical Hub-based Adaptive Navigation using CTDE/Attentive Q-Mixing (A-QMIX)",abstract-only (PDF password-protected),boundary-open-addressed,A canonical Manhattan-style grid network consisting of 30 intersections and 98 edges. The 26 non-perimeter intersections are controlled by routing agents.,reported,"RSR: RSR = |Vcompleted| / |Vtotal| x 100%; Routing Success Rate (RSR), defined as the percentage of vehicles that successfully reach their destination within the simulated period; All AN models consistently achieved a 100% RSR",released,The code for this research is publicly available at https://github.com/Arianhgh/HHAN,"full-text (re-coded, all 10 fields)",MARL
39,A Data-Driven Reinforcement Learning Based Multi-Objective Route Recommendation System,yes,"the agent creates a reward table based on the road network graph (i.e., G = (N,E)), destination node nd, and the given user's preference",none,one Q-value table is created for the present combination of the road network graph and given user preferences,local-prediction,"we utilize the existing predictors for air quality, travel time, and fuel consumption estimations to update the road network graph periodically",predicted,"we combine the given user preference and all predicted values of travel time, fuel consumption, and air quality of the edge",individual,"considering the given user's preference for travel time, fuel consumption, and air quality",implicit-100%,the proposed system chooses the edge corresponding to the maximum Q-value from all possible edges,enforced,"the agent considers all possible edges ({ei,l, ei,m, ...ei,u}) from the current node (ni)",Tabular Q-learning (Watkins & Dayan) with per-destination reward/Q-value adjacency-matrix tables,full-text,not-addressed,,not-reported,,not-stated,,full-text,Tabular-Q-Sarsa
40,Emergency vehicle rescue route optimization based on deep reinforcement learning in highway network,unclear,N/A (abstract does not describe state representation),unclear,N/A (abstract does not describe generalization mechanism),unclear,N/A (abstract does not describe predictive state representation),step-wise,"road network nodes are prioritized based on the spatial transfer scale, and a corresponding reward scheme is designed",individual,this paper proposes a deep reinforcement learning-based method to optimize the rescue routes of EVs on the highway,unclear,N/A (abstract does not describe compliance modeling),action-masking,the action masking technique is applied to reduce the dimension of the action space during the decision-making of the agent,"DRL (specific algorithm unnamed in abstract), combined with action masking",abstract-only (no PDF available),unclear,,unclear,,unclear,,abstract-only,Unspecified
41,Autonomous Vehicle Routing Optimization in a Competitive Environment: A Reinforcement Learning Application,yes,there are 50 agents whose destination is randomly assigned to one of the destination nodes,none,"This paper considered two different network sizes, three by three and six by six, to reduce the amount of computational needs",none,"Each intersection is known as a state. For the Scenario, possible actions are D and R",step-wise,reward of each state is based on the time to get to that state from previous states,individual,"when all of the agents are trying to maximize their utility, and if the intelligent agents have conflicted interests",implicit-100%,intelligent agents are connected to the controller that can provide them with the shortest path,enforced,"an agent cannot move outside the network. Also, an agent cannot pass its destination vertically",Tabular Q-learning (Watkins & Dayan) with reverse-order Q-matrix updates,full-text,boundary-open-addressed,an agent cannot move outside the network,not-reported,,not-stated,,full-text,Tabular-Q-Sarsa
42,Multi-objective route recommendation method based on Q-learning algorithm,yes,"the given user preference and all predicted values of the road segment (travel time, safety, and COVID-19 risk) are combined, and the direct distance between the current node vi and destination node vend (i.e., Euclidean distance) is considered to ensure that the vehicle drives to the destination as quickly as possible",none,"In this study, 20 source-destination node pairs were randomly selected from the New York City road network for the multi-objective route recommendation experiment",rollout-capable,"Each edge ei,j has three different attribute values, which are stored in the form of [wtti,j, wssi,j, wcci,j], representing the predicted value of the traffic time, safety risk index, and COVID-19 risk index under the given user preference Wp = [wt, ws, wc].",predicted,"ri,j <- -(wtti,j + wssi,j + wcci,j), representing the predicted value of the traffic time, safety risk index, and COVID-19 risk index",individual,the direct distance between the current node vi and destination node vend...is considered to ensure that the vehicle drives to the destination as quickly as possible,implicit-100%,,enforced,"The action space defines the set of actions (agent selects an edge) that can be selected by the agent in the current state, that is, given node vi; If nodes vi and vj are not connected, that is, eij not in E, the reward is -infinity, which indicates that there is no edge.",Tabular Q-learning with dynamic exploration factor and initialized value function,abstract-only (PDF password-protected),not-addressed,,not-reported,,not-stated,,"full-text (re-coded, all 10 fields)",Tabular-Q-Sarsa
43,Agent-Based Route Planning with Deep Q Learning,yes,two coordinate data for the position information of the target point,none,"In the SUMO simulation environment, 12 interconnected roads are created. All roads in the system have 4 lanes",none,"three status information expressing the vehicle congestion on the neighboring roads, two coordinate status information indicating the location",step-wise,"The cumulative reward, on the other hand, proceeds by adding the reward value after each decision region",individual,The agent expects to take the waiting passenger to the desired location in the fastest way possible,implicit-100%,"In cases where the agent does not have the right to explore, it takes the action corresponding to the largest Q value",enforced,the agent is not free to select all the elements of the action space when it comes to such intersections,"Deep Q-Network (4-layer neural network, epsilon-greedy exploration)",full-text,not-addressed,,not-reported,,not-stated,,full-text,DQN-family
44,Urban traffic dynamic rerouting framework: A DRL-based model with fog-cloud architecture,no,,none,,none,Two types of information are included in the node feature matrix: average speed v_i and congestion condition ci.,step-wise,the framework uses a speed increase reward and speed decrease penalty with threshold of 5 m/s (11 mph),system,The purpose of the proposed dynamic rerouting framework is to maintain and enhance the RVs' efficiency.,implicit-100%,,enforced,"After determining the actual road weight of the network, EBkSP is used to calculate routes for each RV based on their current location.","GAQ (Graph Attention Network - Deep Q Learning) combined with EBkSP (Entropy-Based k-Shortest Path), fog-cloud architecture",abstract-only (PDF password-protected),not-addressed,,reported,"if the maximum number of steps is reached in one episode, it means that rerouting vehicles are unable to complete their trips within the specified maximum number of steps.",not-stated,,"full-text (re-coded, all 10 fields)",DQN-family
45,Realtime vehicle route optimisation via DQN for sustainable and resilient urban transportation network,yes,"Here, the state is defined as a vector with [te, ne, cv, dv] where the te is the expected travel time in the road, ne is the numbers of vehicles in the road, and the cv and dv represent the current location of the agent and its destination.",none,"the model needs to be re-trained if a vehicle has a trip beyond the boundary of the trained network, or a new network.",none,"where le is the length of the road, ve is the average driving speed in the road, me is the speed limit in the road and ne is the number of vehicles in the road.",step-wise,the reward function rs sets the travel time in the road as an instant reward manner after the vehicle reaches the end of the road rather than the total travel time from origin to destination.,individual,The goal of each reinforcement learning agent is to drive its vehicle to reach its destination as quickly as possible in order to achieve a higher reward.,implicit-100%,,action-masking,the DRL agent only selects the action with the highest q value among the number of connected roads and ignores the extras.,DQN (Deep Q-Network),abstract-only (PDF password-protected),boundary-open-addressed,"the model needs to be re-trained if a vehicle has a trip beyond the boundary of the trained network, or a new network.",not-reported,,not-stated,,"full-text (re-coded, all 10 fields)",DQN-family
46,Optimizing Traffic Routes With Enhanced Double Q-Learning,no,"road edge IDs represent the state 𝑠, the action 𝑎corresponds to route choices at junctions, and the reward 𝑅indicates the efficacy of the actions in reducing travel time and congestion",none,,none,,predicted,we calculate MWT (an average delay that vehicles experience due to traffic jams or traffic stoppages at the intersection) a-priori on a particular road edge using a calibrated traffic simulation model,individual,+100 Upon successful arrival at the destination,implicit-100%,,unclear,,"Double Q-Learning enhanced with Prioritized Experience Replay (DQL-PER), compared to Q-learning, DQL, and DQN",abstract-only (PDF password-protected),not-addressed,,not-reported,,not-stated,,"full-text (re-coded, all 10 fields)",DQN-family
47,Multi-agent deep reinforcement learning based on cloud-edge computing for urban vehicle route guidance,yes,"it sends a routing request, including at least the destination information, to the corresponding intersection agent for receiving route guidance decisions",context-conditioning,"we then connect vehicle requests to obtain a new representation of the observed state of the intersection agent i, denoted as zi t",none,,step-wise,the reward is defined as the negative value of the time duration during which each vehicle travels from entering one decision area at the intersection where the agent i is located to entering the subsequent decision area in accordance with the selected action,individual,the reward is defined as the negative value of the time duration during which each vehicle travels from entering one decision area at the intersection where the agent i is located to entering the subsequent decision area in accordance with the selected action,implicit-100%,,enforced,action ai t is defined as a finite set of all outgoing road segments that the incoming vehicle can be selected at each intersection,Multi-agent deep reinforcement learning based on cloud-edge computing for urban vehicle route guidance (title only; algorithm family stated as multi-agent DRL),"abstract-only (title only, no abstract; PDF password-protected)",not-addressed,,not-reported,,not-stated,,"full-text (re-coded, all 10 fields)",MARL
48,Meta-deep q-learning for eco-routing,no,"The agent considers the intersection at the bottom-left corner as the origin, and the intersection at the top-right corner as the destination",meta-RL,Meta-learning can help the model adapt to a new traffic environment quickly...it is expected to further generalize the model on meta-level learner,none,"The state space is defined as S = {(u, v, r_v, t_v)}...r_v is the traffic signal status flag...t_v is the arrival time when the vehicle arrives at intersection v",realized,Each link-based cost is obtained by averaging the costs of all the vehicles that drive through the link over a short period of time,individual,drivers' different preferences on saving travel time and fuel consumption,implicit-100%,The vehicle that requests eco-routing service downloads the model from the remote data center...applied to the concerned vehicle for its eco-routing,enforced,"consists of 16 signalized intersections, 18 two-way links, and 6 one-way links",DQN (multi-objective meta-deep Q-learning / MOM-DQL),full-text,not-addressed,,not-reported,,not-stated,,full-text,DQN-family
49,Sharing diverse information gets driver agents to learn faster: an application in en route trip building,no,"Nodes n ∈N are seen as states the agents might be in, and the outgoing edges of a node n are the possible actions for that given state.",none,,none,,step-wise,"Assuming that the simulator reports a travel time of tv e for agent v traveling on edge e, the reward is −tv e",individual,"Assuming that the simulator reports a travel time of tv e for agent v traveling on edge e, the reward is −tv e",implicit-100%,,enforced,"Nodes n ∈N are seen as states the agents might be in, and the outgoing edges of a node n are the possible actions for that given state.",MARL tabular Q-learning with C2I communication augmentation,full-text,not-addressed,,not-reported,,released,Code is available at GitHub: https://github.com/guidytz/SUMO-QL.,"full-text (re-coded, all 10 fields)",MARL
50,Regional route guidance with realistic compliance patterns: Application of deep reinforcement learning and MPC,unclear,"utilizes regional approaches (i.e., network-level macroscopic traffic models) to capture traffic dynamics...employing uniformly sampled vehicles as controllable targets",unclear,not specified in abstract; abstract discusses model-based (MPC) vs data-driven (deep RL) solution approaches but no generalization mechanism named,unclear,not specified in abstract,unclear,the balance reward in a deep reinforcement learning-based approach enables controllable agents to reduce trip costs while compromising partial system utility (temporality of reward not specified),mixed,the balance reward in a deep reinforcement learning-based approach enables controllable agents to reduce trip costs while compromising partial system utility,explicit,"These models, however, overlook the inherent nature of individual drivers' compliance...send customized route plans to compliant individuals",unclear,not specified in abstract,MPC-based and deep reinforcement learning-based schemes (multi-agent vs single-agent compared),abstract-only,unclear,,unclear,,unclear,,abstract-only,Model-based-Hybrid
51,A multiagent reinforcement learning approach to en-route trip building,unclear,No abstract or full text available (title only); cross-referenced in dos Santos & Bazzan (2021): 'this is used to allow agents to learn how to build routes',unclear,"No abstract or full text available; cross-reference only describes macroscopic cost-function approach, no generalization mechanism named",unclear,"cross-referenced only: 'they use a macroscopic perspective by means of cost functions that compute the abstract travel time' (dos Santos & Bazzan 2021, citing this paper)",realized,"cross-referenced only: 'they use a macroscopic perspective by means of cost functions that compute the abstract travel time' (dos Santos & Bazzan 2021, citing this paper)",unclear,No abstract or full text available,unclear,No abstract or full text available,unclear,No abstract or full text available,"Q-learning (MARL, tabular) -- inferred from cross-reference: 'a study conducted by Bazzan & Grunitzki (2016) shows that...the learning rate alpha does not play a major role' (dos Santos & Bazzan 2021)",abstract-only,unclear,,unclear,,unclear,,abstract-only,MARL
52,Connected vehicles' dynamic route planning based on reinforcement learning,no,"Assume that the state of vehicle 𝑣is (𝑖, 𝑗), and take this state as the input of the RL algorithm.",none,,none,,step-wise,"If they are not directly connected, a penalty is fed back to the agent. If it is reachable, it determines whether it is closer to the destination. If it is closer to the destination, the agent receives a reward, but if it is farther away, the agent receives a smaller penalty.",individual,"the agent receives a reward, but if it is farther away, the agent receives a smaller penalty",implicit-100%,,not-enforced,"If they are not directly connected, a penalty is fed back to the agent.",DQN / DDQN / Dueling DQN and proposed dynamical-weighted Q-learning (DWQL),full-text,boundary-open-addressed,"This scenario is highly complex, with 70 intersections and five exits (three exits upward, one to the right, and one downward)...If the agent cannot handle it correctly, the connected vehicles may circle in the road network and cannot find the exit, which may lead to an increase in the value of duration index value.",not-reported,,not-stated,,"full-text (re-coded, all 10 fields)",DQN-family
53,A reinforcement learning scheme for the equilibrium of the in-vehicle route choice problem based on congestion game,unclear,the Bush-Mosteller (B-M) reinforcement learning (RL) scheme is introduced to model the route choice behaviors of the travelers in traffic networks (OD structure not detailed in abstract),none,a distributed algorithm based on B-M RL scheme is devised to solve the TAP (no generalization mechanism mentioned),unclear,not specified in abstract,unclear,not specified in abstract,individual,travelers...aim to seek the optimal travel routes that minimize their individual travel time,implicit-100%,"the route choice behaviors of the travelers in traffic networks (agent's choice is the traveler's own behavior, no separate compliance step described)",unclear,not specified in abstract,"Bush-Mosteller reinforcement learning (learning automata, non-deep)",abstract-only,unclear,,unclear,,unclear,,abstract-only,Tabular-Q-Sarsa
54,Robust Route Planning with Distributional Reinforcement Learning in a Stochastic Road Network Environment,unclear,Route planning is essential to mobile robot navigation problems (OD conditioning not detailed in abstract),none,our method is evaluated in a simulated road network environment (no explicit generalization mechanism stated),unclear,not specified in abstract,unclear,not specified in abstract,individual,Policies based on the second-order stochastic dominance (SSD) relation can be used to make adjustable route decisions according to user preference on performance robustness,unclear,not specified in abstract,unclear,not specified in abstract,Distributional reinforcement learning (specific algorithm unspecified),abstract-only,unclear,,unclear,,unclear,,abstract-only,Distributional-RL
55,Deep Reinforcement Learning for Optimizing Route Planning in Urban Traffic,unclear,we use DRL to make autonomous decisions to reduce travel time and congestion of routes (OD conditioning not detailed),unclear,"the model is so adaptable to changing traffic patterns, the model guarantees that (vague, no specific mechanism named)",unclear,"With this rendering of real time traffic data, we use DRL to make autonomous decisions (prediction not explicitly stated)",unclear,not specified in abstract,mixed,we use DRL to make autonomous decisions to reduce travel time and congestion of routes...greatly enhance route efficiency and overall traffic flow management,unclear,not specified in abstract,unclear,not specified in abstract,Deep reinforcement learning (unspecified algorithm),abstract-only,unclear,,unclear,,unclear,,abstract-only,Unspecified
56,Vehicle-Infrastructure Cooperation Framework for Vehicle Navigation and Traffic Signal Control using Deep Reinforcement Learning,unclear,vehicle agents determine the next routing step as vehicles approach intersections (OD conditioning not detailed in abstract),none,modeled as a partially observable Markov decision process (no explicit generalization mechanism named),none,"Based on real-time road condition information, roadside agents can flexibly adjust signal phases, while vehicle agents determine the next routing step",unclear,"Rewards for the vehicle navigation task, based on spatiotemporal dimensions...ensure that reinforcement learning agents continuously improve their traffic efficiency optimization capabilities (temporality unspecified)",mixed,"Rewards for the vehicle navigation task, based on spatiotemporal dimensions, and for the pressure-based signal control task, ensure...traffic efficiency optimization",unclear,not specified in abstract,unclear,not specified in abstract,"Multi-agent RL (vehicle agents + roadside signal-control agents), POMDP-based",abstract-only,unclear,,unclear,,unclear,,abstract-only,MARL
57,VEGA: Electric Vehicle Navigation Agent via Physics-Informed Neural Operator and Proximal Policy Optimization,yes,"a Proximal Policy Optimization (PPO) agent that navigates a charger-annotated road graph, jointly selecting routes and charging stops under state-of-charge constraints",graph-inductive,The learned policy generalizes without retraining to road networks in France and Japan,rollout-capable,VEGA produces a feasible 20-stop plan with 56.12h total trip time and minimum SoC 11.41% (indicates whole-route/multi-stop plan rather than single-step local decision),unclear,not specified in abstract,individual,a vehicle-adaptive energy-aware routing system for electric vehicles (EVs) that integrates physics-informed parameter estimation with RL-based charge-aware path planning,unclear,not specified in abstract,enforced,jointly selecting routes and charging stops under state-of-charge constraints,Proximal Policy Optimization (PPO) with behavior cloning initialization and physics-informed neural operator (PINO),abstract-only,unclear,,unclear,,unclear,,abstract-only,Policy-gradient-AC
58,Using Car to Infrastructure Communication to Accelerate Learning in Route Choice,no,"Nodes n ∈N are seen as states the agents might be in, and the outgoing edges from n are the possible actions associated with that given state.",none,,none,,step-wise,"Upon choosing an action (an edge e), v perceives its reward, which is the negative of its travel time and is given by the traffic simulator.",mixed,"we propose the use C2I communication to influence road users to learn routes that are not necessarily aligned with individual best solutions, but, rather, with the global optimum.",implicit-100%,,enforced,"Nodes n ∈N are seen as states the agents might be in, and the outgoing edges from n are the possible actions associated with that given state.",MARL tabular Q-learning with C2I communication plus UE-to-SO biasing mechanism,full-text,not-addressed,,not-reported,,not-stated,,"full-text (re-coded, all 10 fields) | provenance: screened under 2016 ATT@IJCAI title by same authors; retrieved/charted full text is the 2021 JIDM extended-version paper by the same authors (cited as such in references)",MARL
59,Applying Markov decision process to adaptive dynamic route selection model,no,"An agent has a set of states S (instances of nodes in a transportation network) and a set of actions A = {aij| i, j = 1, 2, …, n i, j ≤number of nodes} in each state.",none,,none,,step-wise,let r be the unchanged (momentary) reward of each link and Q the total reward after iteration,individual,An agent seeks to maximise the expected value of rewards gained from all actions.,implicit-100%,,enforced,"an agent can pass each node only once so, when necessary, the second best node must be selected to avoid backtracking",Q-learning (tabular MDP) combined with multinomial logit discrete-choice model (ADRS),full-text,not-addressed,,reported,the average percentage of agents not finding the correct path (failed agents),not-stated,,"full-text (re-coded, all 10 fields)",Tabular-Q-Sarsa
60,A Sustainable Multi-Agent Routing Algorithm for Vehicle Platoons in Urban Networks,unclear,"abstract only describes ""adequately track the assigned path by using real-time traffic data""; no statement that policy is conditioned on arbitrary OD pairs",unclear,no transfer/domain-rand/meta-RL/graph-embedding mechanism mentioned in abstract,unclear,abstract gives no description of state representation or prediction of future traffic,unclear,"abstract states goal is ""reducing traffic congestion and CO2 emissions"" but does not specify whether reward uses realized or predicted values",unclear,"platoon-level framing (""platoon of five vehicles"") without explicit individual-vs-system reward statement",unclear,no discussion of driver/vehicle compliance with assigned routes,enforced,the MPC unit allows to adequately track the assigned path by using real-time traffic data,DRL + MPC (hybrid),abstract-only,unclear,,unclear,,unclear,,abstract-only,Model-based-Hybrid
61,Distributed Learning for Vehicle Routing Decision in Software Defined Internet of Vehicles,unclear,"abstract discusses ""real-time vehicle routing decision"" without stating whether policy is OD-conditioned",unclear,no generalization mechanism (transfer/domain-rand/meta-RL/graph-inductive/context-conditioning) is mentioned,unclear,no description of state representation or prediction capability in abstract,unclear,no reward formulation detail given,unclear,"""alleviate traffic congestion with the dynamic changes of the road environment"" suggests a system-level goal but reward function is not described",unclear,no discussion of compliance,unclear,no discussion of feasibility constraints on routing actions,MARL (distributed multi-agent RL),abstract-only,unclear,,unclear,,unclear,,abstract-only,MARL
62,Proactive Urban Expressway Guidance: A Hybrid Approach Using Reinforcement Learning and Traffic Prediction Models,no,"For the predicted road network at time step t + delta t, we consider three critical parameters for each road segment: the vehicle count, the average speed of vehicles and the mean length",none,,rollout-capable,"For the predicted road network at time step t + t, we consider three critical parameters for each road segment m: the vehicle count bt+t,m, the average speed of vehicles vt+t,m and the mean length lt+t,m.",step-wise,"Due to the potential convergence issues arising from delayed rewards, we employ the API in SUMO to approximate vehicular travel times.",system,"In the context of fully cooperation, the cumulative reward for each agent is denoted as Ri, and is uniform across all agents",explicit,the compliance rate of drivers and the prediction accuracy of traffic flow are critical factors influencing the overall effectiveness of the results...scenarios with compliance rates 80% and 90% are simulated,enforced,"the action of an agent is defined as the route division/distribution of vehicles among the feasible paths of the corresponding primary OD, in which the path set is predetermined.",MARL actor-critic (VDAC),full-text,not-addressed,,not-reported,,not-stated,,"full-text (re-coded, all 10 fields)",MARL
63,A Bi-Level Network-Wide Cooperative Driving Approach Including Deep Reinforcement Learning-Based Routing,unclear,"abstract describes ""dynamic routing problem is considered in the upper level"" without stating explicit OD-pair conditioning of the routing policy",unclear,no transfer/domain-rand/meta-RL/graph-inductive mechanism described in abstract,unclear,abstract does not describe the state representation or any predictive/rollout component of the upper-level routing model,unclear,abstract does not specify whether the routing reward is based on realized or predicted travel outcomes,mixed,thereby improving efficiency for both individual vehicles and global traffic systems,unclear,no discussion of driver compliance with routing decisions,unclear,"lower-level MCTS handles right-of-way assignment, but abstract does not state whether the upper-level routing action space is itself constrained/masked for feasibility",MARL + MCTS (hybrid bi-level),abstract-only,unclear,,unclear,,unclear,,abstract-only,MARL
64,Self-Organized Routing for Autonomous Vehicles via Deep Reinforcement Learning,unclear,abstract discusses vehicle-level routing decisions under limited traffic information without explicit statement of OD-conditioning,unclear,vehicles can only access localized traffic information; no transfer/domain-rand/meta-RL/graph-embedding mechanism stated,unclear,abstract does not describe any predictive state or rollout mechanism,unclear,no explicit statement of realized vs. predicted reward basis,mixed,we propose a novel reward mechanism to harmonize indirect interactions among vehicles by jointly learning individual and overall efficiency,unclear,no discussion of compliance,unclear,no discussion of action feasibility constraints,DRL (decentralized/independent agents),abstract-only,unclear,,unclear,,unclear,,abstract-only,MARL
65,Graph Convolutional Network Based Multi-Objective Meta-Deep Q-Learning for Eco-Routing,no,P ∈RN×1 is the position information vector of the subject vehicle. Its element pi is 1 if the subject vehicle is on link i.,meta-RL,This study adopts deep Q-learning (DQL) based meta-reinforcement learning for eco-routing.,none,We bypass the vehicle trajectory prediction and fuel/energy consumption prediction. This is because the predicted values may be inaccurate and may not reflect the reality.,step-wise,The reward r is defined as a vector that contains the negative values of costs after an action is taken.,individual,"Once the agent reaches the final destination, the reward will be maximum, i.e., 0. In that sense, the agent will be rewarded for getting close to the destination.",implicit-100%,,enforced,"For a typical intersection with four road-approaches possible actions are turning left, turning right, and driving straight through the intersection.",DQN (GCN-based meta-deep Q-learning),full-text,not-addressed,,not-reported,,not-stated,,"full-text (re-coded, all 10 fields)",DQN-family
66,SEGAC: Sample Efficient Generalized Actor Critic for the Stochastic On-Time Arrival Problem,yes,SEGAC updates the ego vehicle's navigation policy in a sample efficient manner...and is automatically adaptive to new destinations,context-conditioning,is automatically adaptive to new destinations... the pre-trained SEGAC policy network enables its real-time decision-making ability within seconds,unclear,abstract does not describe the internal state representation or any explicit rollout/local-prediction mechanism,unclear,abstract does not specify whether reward is computed from realized or predicted travel-time values,individual,SEGAC updates the ego vehicle's navigation policy...reduces the variance of both value network and policy network during training,unclear,no discussion of driver compliance,unclear,no discussion of action feasibility constraints,Actor-Critic (SEGAC),abstract-only,unclear,,unclear,,unclear,,abstract-only,Policy-gradient-AC
67,GE-DDRL: Graph Embedding and Deep Distributional Reinforcement Learning for Reliable Shortest Path: A Universal and Scale Free Solution,yes,"we just need to augment the input feature vector of the DDRL module with the embedded destination nodes, i.e., Zπ(φ(õ), a) is augmented to Zπ(φ(õ), φ( ˜d), a)",graph-inductive,"in order to achieve the generalization ability to new destination nodes, we employ one of the canonical graph embedding techniques (Skip-Gram) to compress the nodes’ representation into d-dimensional real-valued vectors.",none,,step-wise,"the immediate reward r is the sampled travel time of Edge i j, i.e., ci j.",individual,"the immediate reward r is the sampled travel time of Edge i j, i.e., ci j.",implicit-100%,,action-masking,we propose a pruning algorithm to filter out the sub-optimal policy in the exploration step.,"Distributional RL (FPN-QVN, graph embedding)",full-text,not-addressed,,not-reported,,released,"The source code of GE-DDRL is publicly available,4 with the FPN module of GE-DDRL based on [62].","full-text (re-coded, all 10 fields)",Distributional-RL
