title,year,venue,doi,decision
3D-Aware Object Goal Navigation via Simultaneous Exploration and Identification,2023,2023 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),10.1109/CVPR52729.2023.00645,exclude
A Bilevel Graph Reinforcement Learning Method for Electric Vehicle Fleet Charging Guidance,2023,IEEE Transactions on Smart Grid,10.1109/TSG.2023.3240580,borderline
A Chronological and Cooperative Route Optimization Method for Heterogeneous Vehicle Routing Problem,2023,"2023 Congress in Computer Science, Computer Engineering, & Applied Computing (CSCE)",10.1109/CSCE60160.2023.00017,exclude
A Deep Reinforcement Learning Based Real-Time Solution Policy for the Traveling Salesman Problem,2023,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2023.3256563,exclude
A Deep Reinforcement Learning Decision-Making Approach for Adaptive Cruise Control in Autonomous Vehicles,2023,2023 21st International Conference on Advanced Robotics (ICAR),10.1109/ICAR58858.2023.10406331,exclude
A Graph Reinforcement Learning-Based Decision-Making Platform for Real-Time Charging Navigation of Urban Electric Vehicles,2023,IEEE Transactions on Industrial Informatics,10.1109/TII.2022.3210264,borderline
A Joint Design of Path Planning and Lane Reservation for Emergency Service in ITS,2023,2023 IEEE International Symposium on Product Compliance Engineering - Asia (ISPCE-ASIA),10.1109/ISPCE-ASIA60405.2023.10365789,include
A Method for Ship Route Planning Fusing the Ant Colony Algorithm and the A* Search Algorithm,2023,IEEE Access,10.1109/ACCESS.2023.3243810,exclude
A Multipath Routing Algorithm for Satellite Networks based on Service Demand and Traffic Awareness,2023,Frontiers of Information Technology & Electronic Engineering,10.1631/FITEE.2200507,exclude
A Novel Approach for Smoothing the Path of Emergency Vehicles in Urban Areas,2023,"2023 IEEE International Conference on Systems, Man, and Cybernetics (SMC)",10.1109/SMC53992.2023.10394581,exclude
A Novel Reinforcement Learning Based Optimization Approach for Supply Chain Management,2023,"2023 International Conference on Computing, Communication, and Intelligent Systems (ICCCIS)",10.1109/ICCCIS60361.2023.10425106,exclude
A Novel Route Planning Approach Based on Energy-Based Action Sample Reinforcement Learning,2023,Chinese Control and Decision Conference (CCDC),,exclude
A Novel Routing Solution for EV Fleets: A Real-World Case Study Leveraging Double DQNs and Graph-Structured Data to Solve the EVRPTW Problem,2023,IEEE Access,10.1109/ACCESS.2023.3327324,exclude
A Risk-Averse Preview-Based Q-Learning Algorithm: Application to Highway Driving of Autonomous Vehicles,2023,IEEE Transactions on Control Systems Technology,10.1109/TCST.2023.3245824,exclude
A Risk-aware Multi-objective Patrolling Route Optimization Method using Reinforcement Learning,2023,2023 IEEE 29th International Conference on Parallel and Distributed Systems (ICPADS),10.1109/ICPADS60453.2023.00229,borderline
A Set-Theoretic Receding Horizon Control Based on a Q-Learning Approach for Sustainability Purposes,2023,"2023 9th International Conference on Control, Decision and Information Technologies (CoDIT)",10.1109/CoDIT58514.2023.10284396,borderline
A Short Review of Truck and Drone Collaborative Delivery Problem,2023,2023 IEEE 10th International Conference on Cyber Security and Cloud Computing (CSCloud)/2023 IEEE 9th International Conference on Edge Computing and Scalable Cloud (EdgeCom),10.1109/CSCloud-EdgeCom58631.2023.00013,exclude
A Survey on Localization for Autonomous Vehicles,2023,IEEE Access,10.1109/ACCESS.2023.3326069,survey
A Sustainable Multi-Agent Routing Algorithm for Vehicle Platoons in Urban Networks,2023,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2023.3305463,include
A Systematic Survey of Control Techniques and Applications in Connected and Automated Vehicles,2023,IEEE Internet of Things Journal,10.1109/JIOT.2023.3307002,survey
A hybrid algorithm combining ant colony optimization and large neighborhood search based on reinforcement learning for integrated container-truck scheduling problem,2023,2023 8th International Conference on Intelligent Computing and Signal Processing (ICSP),10.1109/ICSP58490.2023.10248613,exclude
A novel proximal policy optimization control strategy for unmanned surface vehicle,2023,2023 35th Chinese Control and Decision Conference (CCDC),10.1109/CCDC58219.2023.10326629,exclude
AI Sovereignty in Autonomous Driving: Exploring Needs and Possibilities for Overcoming Challenges,2023,2023 IEEE Silchar Subsection Conference (SILCON),10.1109/SILCON59133.2023.10405285,exclude
Adaptive Path Planning for Autonomous Vehicles in Complex Traffic Scenarios,2023,2023 International Conference on Evolutionary Algorithms and Soft Computing Techniques (EASCT),10.1109/EASCT59475.2023.10393634,exclude
Adaptive Traffic Grooming Using Reinforcement Learning in Multilayer Elastic Optical Networks,2023,2023 Optical Fiber Communications Conference and Exhibition (OFC),10.1364/OFC.2023.Tu2D.6,exclude
Adversarial Data-Augmented Resilient Intrusion Detection System for Unmanned Aerial Vehicles,2023,2023 IEEE International Conference on Big Data (BigData),10.1109/BigData59044.2023.10386140,exclude
An Efficient Centralized Multi-Agent Reinforcement Learner for Cooperative Tasks,2023,IEEE Access,10.1109/ACCESS.2023.3340867,exclude
An Improved Deep Reinforcement Learning Method-Based Nonparametric Modeling of Ship Dynamics,2023,2023 42nd Chinese Control Conference (CCC),10.23919/CCC58697.2023.10240206,exclude
An Intelligent Routing Approach for SDN Based on Improved DuelingDQN Algorithm,2023,2023 9th International Conference on Computer and Communications (ICCC),10.1109/ICCC59590.2023.10507555,exclude
An Optimized Path Planning Method for Container Ships in Bohai Bay Based on Improved Deep Q-Learning,2023,IEEE Access,10.1109/ACCESS.2023.3307480,exclude
An Uncertainty-Aware Transfer Learning-Based Framework for COVID-19v Diagnosis,2023,2023 2nd International Conference on Futuristic Technologies (INCOFT),10.1109/INCOFT60753.2023.10425188,exclude
Applied Deep Reinforcement Learning for Solving the Vehicle Routing Problem with Time Windows,2023,2023 8th International Conference on Computational Intelligence and Applications (ICCIA),10.1109/ICCIA59741.2023.00012,exclude
Automated Design of Metaheuristics Using Reinforcement Learning Within a Novel General Search Framework,2023,IEEE Transactions on Evolutionary Computation,10.1109/TEVC.2022.3197298,exclude
Automated Valet Parking using Double Deep Q Learning,2023,"2023 International Conference on Advances in Electronics, Communication, Computing and Intelligent Information Systems (ICAECIS)",10.1109/ICAECIS58353.2023.10170029,exclude
Autonomous Navigation of Wheel Loaders using Task Decomposition and Reinforcement Learning,2023,2023 IEEE 19th International Conference on Automation Science and Engineering (CASE),10.1109/CASE56687.2023.10260481,exclude
Bi-Level Optimization Augmented with Conditional Variational Autoencoder for Autonomous Driving in Dense Traffic,2023,2023 IEEE 19th International Conference on Automation Science and Engineering (CASE),10.1109/CASE56687.2023.10260485,exclude
CHAMP: Integrated Logic with Reinforcement Learning for Hybrid Decision Making for Autonomous Vehicle Planning,2023,2023 American Control Conference (ACC),10.23919/ACC55779.2023.10156628,exclude
Centralised Vehicle Routing for Optimising Urban Traffic: A Scalability Perspective,2023,2023 IEEE Intelligent Vehicles Symposium (IV),10.1109/IV55152.2023.10186707,exclude
Charging Cost-Aware Fleet Management for Shared On-Demand Green Logistic System,2023,IEEE Internet of Things Journal,10.1109/JIOT.2022.3176604,exclude
Comfort-Oriented Motion Planning for Automated Vehicles Using Deep Reinforcement Learning,2023,IEEE Open Journal of Intelligent Transportation Systems,10.1109/OJITS.2023.3275275,exclude
Control Strategy for Cooperative Driving Automation in Traffic Incidents,2023,"2023 International Conference on Control, Automation and Diagnosis (ICCAD)",10.1109/ICCAD57653.2023.10152444,exclude
Control of Self-Driving Cars using Reinforcement Learning,2023,"2023 IEEE International Conference on Electronics, Computing and Communication Technologies (CONECCT)",10.1109/CONECCT57959.2023.10234763,exclude
Cooperative Game-Based Charging-Discharging Efficiency Optimization of Electric Vehicles in 6G-Enabled V2G,2023,IEEE Transactions on Green Communications and Networking,10.1109/TGCN.2022.3191699,exclude
DGL-Routing: One Routing Optimization Model Based on Deep Graph Learning,2023,2023 IEEE International Conference on Communications Workshops (ICC Workshops),10.1109/ICCWorkshops57953.2023.10283762,exclude
DLICA: Deep Learning based novel Strategy for Intelligent Channel Adaption in Wireless SDN-IoT Environment,2023,"2023 International Conference on Communication, Computing and Digital Systems (C-CODE)",10.1109/C-CODE58145.2023.10139910,exclude
DRL Router: Distributional Reinforcement Learning-Based Router for Reliable Shortest Path Problems,2023,IEEE Intelligent Transportation Systems Magazine,10.1109/MITS.2023.3265309,include
DRL-Based Motion Control for Unmanned Surface Vehicles with Environmental Disturbances,2023,2023 IEEE International Conference on Unmanned Systems (ICUS),10.1109/ICUS58632.2023.10318284,exclude
Data-driven Deep Reinforcement Learning for Automated Driving,2023,2023 IEEE 26th International Conference on Intelligent Transportation Systems (ITSC),10.1109/ITSC57777.2023.10422194,exclude
Deep Graph Representation Learning to Solve Vehicle Routing Problem,2023,2023 International Conference on Machine Learning and Cybernetics (ICMLC),10.1109/ICMLC58545.2023.10327970,exclude
Deep Learning Based Multi-Zone AVP System Utilizing V2I Communications,2023,IEEE Access,10.1109/ACCESS.2023.3307571,exclude
Deep Learning Based Steering Angle Prediction with LiDAR for Autonomous Vehicle,2023,2023 IEEE 97th Vehicular Technology Conference (VTC2023-Spring),10.1109/VTC2023-Spring57618.2023.10201141,exclude
Deep Reinforcement Learning Based Accurate UUV Localization,2023,"2023 IEEE International Conference on Signal Processing, Communications and Computing (ICSPCC)",10.1109/ICSPCC59353.2023.10400290,exclude
Deep Reinforcement Learning Based Dynamic Routing Optimization for Delay-Sensitive Applications,2023,GLOBECOM 2023 - 2023 IEEE Global Communications Conference,10.1109/GLOBECOM54140.2023.10437439,exclude
Deep Reinforcement Learning With NMPC Assistance Nash Switching for Urban Autonomous Driving,2023,IEEE Transactions on Intelligent Vehicles,10.1109/TIV.2022.3167616,exclude
Deep Reinforcement Learning based Intelligent Routing for Multi-service Traffic SDN,2023,2023 5th International Academic Exchange Conference on Science and Technology Innovation (IAECST),10.1109/IAECST60924.2023.10502900,exclude
Deep Reinforcement Learning for Autonomous Navigation on Duckietown Platform: Evaluation of Adversarial Robustness,2023,"2023 International Symposium on Networks, Computers and Communications (ISNCC)",10.1109/ISNCC58260.2023.10323905,exclude
Deep Reinforcement Learning for Dynamic Demand in Shared Bicycle Scheduling Problem,2023,2023 9th International Conference on Big Data and Information Analytics (BigDIA),10.1109/BigDIA60676.2023.10429476,exclude
Deep Reinforcement Learning for Stochastic Dynamic Vehicle Routing Problem,2023,2023 17th International Conference on Electronics Computer and Computation (ICECCO),10.1109/ICECCO58239.2023.10147154,exclude
Deep Reinforcement Learning for autonomous ground vehicle driving in mountainous environments with adverse environmental conditions,2023,"2023 3rd International Conference on Electrical, Computer, Communications and Mechatronics Engineering (ICECCME)",10.1109/ICECCME57830.2023.10252473,exclude
Deep Reinforcement Learning-Based Multi-Object Adaptive Route Planning for Traveling Recommender Systems,2023,IEEE Access,10.1109/ACCESS.2023.3327273,borderline
Deep Reinforcement Learning-based QoS Aware Routing in Software Defined Networks,2023,2023 14th International Conference on Computing Communication and Networking Technologies (ICCCNT),10.1109/ICCCNT56998.2023.10308049,exclude
Design and Research of Vehicle Platoon Formation Algorithm Based on Multi-Agent Reinforcement Learning,2023,2023 8th IEEE International Conference on Network Intelligence and Digital Content (IC-NIDC),10.1109/IC-NIDC59918.2023.10390616,exclude
Dynamic Drifting Control for General Path Tracking of Autonomous Vehicles,2023,IEEE Transactions on Intelligent Vehicles,10.1109/TIV.2023.3235007,exclude
Dynamic Route Guidance System Based on Real-time Vehicle-Road Collaborations with Deep Reinforcement Learning,2023,IEEE Vehicular Technology Conference,,include
Efficient Lane-changing Behavior Planning via Reinforcement Learning with Imitation Learning Initialization,2023,2023 IEEE Intelligent Vehicles Symposium (IV),10.1109/IV55152.2023.10186577,exclude
Emergence of Cooperative Automated Driving Control at Roundabouts Using Deep Reinforcement Learning,2023,2023 62nd Annual Conference of the Society of Instrument and Control Engineers (SICE),10.23919/SICE59929.2023.10354212,exclude
End-to-end autonomous vehicle navigation control method guided by the dynamic window approach,2023,2023 IEEE 6th International Electrical and Energy Conference (CIEEC),10.1109/CIEEC58067.2023.10167001,exclude
Energy and Time-efficient Trajectory Planning and Geometric Control for Quadrotor Waypoints Flight,2023,"2023 9th International Conference on Control, Automation and Robotics (ICCAR)",10.1109/ICCAR57134.2023.10151732,exclude
Enhancing Network Performance in LEO Satellite Networks through DRL-Based Routing Optimization,2023,2023 Global Conference on Information Technologies and Communications (GCITC),10.1109/GCITC60406.2023.10426399,exclude
Enhancing Vehicle Routing Solutions Through Attention-Based Deep Reinforcement Learning,2023,2023 5th International Conference on Data-driven Optimization of Complex Systems (DOCS),10.1109/DOCS60977.2023.10294826,exclude
Event-Triggered Deep Reinforcement Learning Using Parallel Control: A Case Study in Autonomous Driving,2023,IEEE Transactions on Intelligent Vehicles,10.1109/TIV.2023.3262132,exclude
Exploring the Potential of Deep Reinforcement Learning for Autonomous Navigation in Complex Environments,2023,"2023 7th International Conference On Computing, Communication, Control And Automation (ICCUBEA)",10.1109/ICCUBEA58933.2023.10392109,exclude
From MPLS to SD-WAN to ensure QoS and QoE in cloud-based applications,2023,2023 IEEE 9th International Conference on Network Softwarization (NetSoft),10.1109/NetSoft57336.2023.10175470,exclude
GE-DDRL: Graph Embedding and Deep Distributional Reinforcement Learning for Reliable Shortest Path: A Universal and Scale Free Solution,2023,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2023.3285770,include
GNN-RL: Dynamic Reward Mechanism for Connected Vehicle Security using Graph Neural Networks and Reinforcement Learning,2023,2023 IEEE International Conference on Smart Computing (SMARTCOMP),10.1109/SMARTCOMP58114.2023.00047,exclude
GRAND: Graph Laplacian-based Reinforcement Learning for Autonomous Navigation Decisions,2023,2023 IEEE World Conference on Applied Intelligence and Computing (AIC),10.1109/AIC57670.2023.10263897,borderline
Generating and Explaining Corner Cases Using Learnt Probabilistic Lane Graphs,2023,2023 IEEE 26th International Conference on Intelligent Transportation Systems (ITSC),10.1109/ITSC57777.2023.10422229,exclude
Hawkeye: A Dynamic and Stateless Multicast Mechanism with Deep Reinforcement Learning,2023,IEEE INFOCOM 2023 - IEEE Conference on Computer Communications,10.1109/INFOCOM53939.2023.10228869,exclude
Headland Turn Automation Concept for Tractor-Trailer System with Deep Reinforcement Learning,2023,2023 IEEE 19th International Conference on Automation Science and Engineering (CASE),10.1109/CASE56687.2023.10260531,exclude
Hierarchical Clustering-Based State Grouping Reinforcement Learning for Switching Decision of Autonomous Vehicles,2023,2023 IEEE International Conference on Unmanned Systems (ICUS),10.1109/ICUS58632.2023.10318413,exclude
How Bad is Selfish Driving? Bounding the Inefficiency of Equilibria in Urban Driving Games,2023,IEEE Robotics and Automation Letters,10.1109/LRA.2023.3251845,exclude
"How Does a Digital Twin Network Work Well for Connected and Automated Vehicles: Joint Perception, Planning, and Control",2023,IEEE Vehicular Technology Magazine,10.1109/MVT.2023.3328107,exclude
Integration of Reinforcement Learning Based Behavior Planning With Sampling Based Motion Planning for Automated Driving,2023,2023 IEEE Intelligent Vehicles Symposium (IV),10.1109/IV55152.2023.10186736,exclude
Intelligent Navigation Decisions-Making in Curved Channels: Review and Challenges,2023,2023 7th International Conference on Transportation Information and Safety (ICTIS),10.1109/ICTIS60134.2023.10243874,survey
Intelligent Online Routing in SDN via Multi-Task Multi-Agent Reinforcement Learning,2023,2023 20th International Computer Conference on Wavelet Active Media Technology and Information Processing (ICCWAMTIP),10.1109/ICCWAMTIP60502.2023.10387119,exclude
Intelligent Parking Lot System Based on Automatic Parking Hybrid Controller,2023,2023 China Automation Congress (CAC),10.1109/CAC59555.2023.10451102,exclude
Lane-keeping Control of Autonomous Vehicles Using Reinforcement Learning and Predictive Safety Filter *,2023,2023 7th CAA International Conference on Vehicular Control and Intelligence (CVCI),10.1109/CVCI59596.2023.10397167,exclude
Learning Large Neighborhood Search for Vehicle Routing in Airport Ground Handling,2023,IEEE Transactions on Knowledge and Data Engineering,10.1109/TKDE.2023.3249799,exclude
Learning to Optimize Vehicle Routes Problem: A Two-Stage Hybrid Reinforcement Learning,2023,"2023 International Conference on Sensing, Measurement & Data Analytics in the era of Artificial Intelligence (ICSMD)",10.1109/ICSMD60522.2023.10490595,exclude
Learning to Solve Multiple-TSP With Time Window and Rejections via Deep Reinforcement Learning,2023,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2022.3207011,exclude
"Level-$K$ Reasoning, Deep Reinforcement Learning, and Monte Carlo Decision Process for Fast and Safe Automated Lane Change and Speed Management",2023,IEEE Transactions on Intelligent Vehicles,10.1109/TIV.2023.3265311,exclude
MEERL: Maximum Experience Entropy Reinforcement Learning Method for Navigation and Control of Automated Vehicles,2023,2023 IEEE 26th International Conference on Intelligent Transportation Systems (ITSC),10.1109/ITSC57777.2023.10422026,exclude
Meta-Learning-Based Deep Reinforcement Learning for Multiobjective Optimization Problems,2023,IEEE Transactions on Neural Networks and Learning Systems,10.1109/TNNLS.2022.3148435,exclude
"Milestones in Autonomous Driving and Intelligent Vehicles?�Part I: Control, Computing System Design, Communication, HD Map, Testing, and Human Behaviors",2023,"IEEE Transactions on Systems, Man, and Cybernetics: Systems",10.1109/TSMC.2023.3276218,exclude
Motion Planning for Autonomous Driving: The State of the Art and Future Perspectives,2023,IEEE Transactions on Intelligent Vehicles,10.1109/TIV.2023.3274536,survey
Multi-AUV Charging Navigation Trajectory Planning Based on Twin Delayed Deep Deterministic Policy Gradient,2023,2023 42nd Chinese Control Conference (CCC),10.23919/CCC58697.2023.10240061,exclude
Multi-Factor Edge-Weighting with Reinforcement Learning for Load Balancing of Electric Vehicle Charging Stations,2023,2023 International Conference on Machine Learning and Applications (ICMLA),10.1109/ICMLA58977.2023.00086,exclude
Multi-PET Cooperative Autonomous Navigation Based on Multi-agent Deep Deterministic Policy Gradient,2023,2023 8th Asia Conference on Power and Electrical Engineering (ACPEE),10.1109/ACPEE56931.2023.10135975,exclude
On Voltage Regulation via Ride-Hailing Fleet Management,2023,2023 IEEE Sustainable Power and Energy Conference (iSPEC),10.1109/iSPEC58282.2023.10402869,exclude
Optimization Method of DRL-based Route Planning under Limited Resources,2023,2023 3rd International Conference on Electronic Information Engineering and Computer (EIECT),,include
PHH: Policy-Based Hyper-Heuristic With Reinforcement Learning,2023,IEEE Access,10.1109/ACCESS.2023.3277953,exclude
POMDP Motion Planning Algorithm Based on Multi-Modal Driving Intention,2023,IEEE Transactions on Intelligent Vehicles,10.1109/TIV.2022.3209926,exclude
Policy Iteration Based Approximate Dynamic Programming Toward Autonomous Driving in Constrained Dynamic Environment,2023,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2023.3237568,exclude
Position Paper: A Vision for the Dynamic Safety Assurance of ML-Enabled Autonomous Driving Systems,2023,2023 IEEE 31st International Requirements Engineering Conference Workshops (REW),10.1109/REW57809.2023.00056,exclude
Positioning Method for Covered Vehicles Based on Neutrino Detection and Reinforcement Learning,2023,2023 3rd International Conference on Electronic Information Engineering and Computer (EIECT),10.1109/EIECT60552.2023.10441879,exclude
RL-based path planning for controller performance validation,2023,2023 31st Mediterranean Conference on Control and Automation (MED),10.1109/MED59994.2023.10185811,exclude
Real-Time Coordinated Operation of Power and Autonomous Electric Ride-Hailing Systems,2023,IEEE Transactions on Smart Grid,10.1109/TSG.2023.3247780,borderline
Recent Advancement in Autonomous Vehicle and Driver Assistance Systems,2023,"2023 IEEE International Students' Conference on Electrical, Electronics and Computer Science (SCEECS)",10.1109/SCEECS57921.2023.10063089,survey
Reducing Waiting Times at Charging Stations With Adaptive Electric Vehicle Route Planning,2023,IEEE Transactions on Intelligent Vehicles,10.1109/TIV.2022.3140894,exclude
Reinforcement Learning Driving Strategy based on Auxiliary Task for Multi-Scenarios Autonomous Driving,2023,2023 IEEE 12th Data Driven Control and Learning Systems Conference (DDCLS),10.1109/DDCLS58216.2023.10166271,exclude
Reinforcement Learning for Improved Guidance and Power Management of Unmanned Underwater Vehicles,2023,OCEANS 2023 - MTS/IEEE U.S. Gulf Coast,10.23919/OCEANS52994.2023.10337069,exclude
Reinforcement Learning for Multiaircraft Autonomous Air Combat in Multisensor UCAV Platform,2023,IEEE Sensors Journal,10.1109/JSEN.2022.3220324,exclude
Reinforcement Learning for Platooning Control in Vehicular Networks,2023,GLOBECOM 2023 - 2023 IEEE Global Communications Conference,10.1109/GLOBECOM54140.2023.10437904,exclude
Reinforcement Learning for Predicting Traffic Accidents,2023,2023 International Conference on Artificial Intelligence in Information and Communication (ICAIIC),10.1109/ICAIIC57133.2023.10067034,exclude
"Reinforcement Learning for Underwater Spatiotemporal Path Planning, with Application to an Autonomous Marine Current Turbine",2023,2023 American Control Conference (ACC),10.23919/ACC55779.2023.10155898,exclude
Reinforcement Learning for Weighted p-median Problem,2023,2023 International Conference on Information and Digital Technologies (IDT),10.1109/IDT59031.2023.10194404,exclude
Research on Deep Reinforcement Learning of Unmanned Multi-sensor Fusion Based on Adaptive Reward Mechanism,2023,"2023 IEEE 6th International Conference on Automation, Electronics and Electrical Engineering (AUTEEE)",10.1109/AUTEEE60196.2023.10407223,exclude
Research on Travel Paths Based on Car-Hailing Services Connecting with Rail Transit,2023,2023 IEEE 26th International Conference on Intelligent Transportation Systems (ITSC),10.1109/ITSC57777.2023.10421829,include
Research on Unmanned Surface Vehicle Collision Avoidance Based on Deep Reinforcement Learning,2023,"2023 5th International Conference on Robotics, Intelligent Control and Artificial Intelligence (RICAI)",10.1109/RICAI60863.2023.10489693,exclude
Research on Vehicle Routing Problem Based on Deep Reinforcement Learning,2023,2023 8th International Conference on Intelligent Computing and Signal Processing (ICSP),10.1109/ICSP58490.2023.10248912,exclude
Research on Vehicle Routing Problem Based on Heuristic Neural Network,2023,2023 5th International Conference on Frontiers Technology of Information and Computer (ICFTIC),10.1109/ICFTIC59930.2023.10456204,exclude
Revolutionizing Transportation Using Deep Reinforcement Learning: A Comprehensive Review,2023,2023 IEEE 15th International Conference on Computational Intelligence and Communication Networks (CICN),10.1109/CICN59264.2023.10402234,survey
Risk Assessment and Management based on Neuro-Fuzzy System for Safe and Flexible Navigation in Unsignalized Intersection,2023,2023 IEEE Intelligent Vehicles Symposium (IV),10.1109/IV55152.2023.10186762,exclude
Robust Driving Policy Learning with Guided Meta Reinforcement Learning,2023,2023 IEEE 26th International Conference on Intelligent Transportation Systems (ITSC),10.1109/ITSC57777.2023.10422469,exclude
Rollout-Based Interactive Motion Planning for Automated Vehicles *,2023,2023 IEEE 26th International Conference on Intelligent Transportation Systems (ITSC),10.1109/ITSC57777.2023.10422575,exclude
SHAIL: Safety-Aware Hierarchical Adversarial Imitation Learning for Autonomous Driving in Urban Environments,2023,2023 IEEE International Conference on Robotics and Automation (ICRA),10.1109/ICRA48891.2023.10161449,exclude
Safe-State Enhancement Method for Autonomous Driving via Direct Hierarchical Reinforcement Learning,2023,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2023.3271642,exclude
Safety Reinforced Model Predictive Control (SRMPC): Improving MPC with Reinforcement Learning for Motion Planning in Autonomous Driving,2023,2023 IEEE 26th International Conference on Intelligent Transportation Systems (ITSC),10.1109/ITSC57777.2023.10422605,exclude
Self-Learned Autonomous Driving at Unsignalized Intersections: A Hierarchical Reinforced Learning Approach for Feasible Decision-Making,2023,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2023.3285440,exclude
Social-Aware Planning and Control for Automated Vehicles Based on Driving Risk Field and Model Predictive Contouring Control: Driving Through Roundabouts as a Case Study,2023,"2023 IEEE International Conference on Systems, Man, and Cybernetics (SMC)",10.1109/SMC53992.2023.10394462,exclude
Solving Capacitated and Time-constrained Vehicle Routing Problems by Deep Reinforcement Learning-based Method,2023,2023 IEEE International Conference on Industrial Engineering and Engineering Management (IEEM),10.1109/IEEM58616.2023.10406836,exclude
Solving the VRP Using Transformer-Based Deep Reinforcement Learning,2023,2023 International Conference on Machine Learning and Cybernetics (ICMLC),10.1109/ICMLC58545.2023.10327956,exclude
Solving the Vehicle Routing Problem with Time Window based on Reinforcement Learning,2023,"2023 19th International Conference on Natural Computation, Fuzzy Systems and Knowledge Discovery (ICNC-FSKD)",10.1109/ICNC-FSKD59587.2023.10280869,exclude
System Simulation And Machine Learning-Based Maintenance Optimization For An Inland Waterway Transportation System,2023,2023 Winter Simulation Conference (WSC),10.1109/WSC60868.2023.10408112,exclude
Temporal Based Deep Reinforcement Learning for Crowded Lane Merging Maneuvers,2023,2023 IEEE 26th International Conference on Intelligent Transportation Systems (ITSC),10.1109/ITSC57777.2023.10422486,exclude
Time-Driven and Privacy-Preserving Navigation Model for Vehicle-to-Vehicle Communication Systems,2023,IEEE Transactions on Vehicular Technology,10.1109/TVT.2023.3248613,borderline
Towards a Standardized Reinforcement Learning Framework for AAM Contingency Management,2023,2023 IEEE/AIAA 42nd Digital Avionics Systems Conference (DASC),10.1109/DASC58513.2023.10311174,exclude
Trajectory Optimization for Drone Logistics Delivery via Attention-Based Pointer Network,2023,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2022.3168987,exclude
USV Port Oil Spill Cleanup Using Hybrid Multi-Destination RL-CPP,2023,IEEE Access,10.1109/ACCESS.2023.3327559,exclude
V2X Communication Assisted Hierarchical Path Planning for Connected and Automated Vehicles,2023,2023 China Automation Congress (CAC),10.1109/CAC59555.2023.10450461,exclude
Vehicle Routing Problem Solving Using Reinforcement Learning,2023,2023 26th International Conference on Computer and Information Technology (ICCIT),10.1109/ICCIT60459.2023.10441644,exclude
Visual Navigation Subject to Embodied Mismatch,2023,IEEE Transactions on Cognitive and Developmental Systems,10.1109/TCDS.2023.3238840,exclude
A Bi-Level Network-Wide Cooperative Driving Approach Including Deep Reinforcement Learning-Based Routing,2024,IEEE Transactions on Intelligent Vehicles,10.1109/TIV.2023.3305818,include
A Brief Survey of Deep Reinforcement Learning for Intersection Navigation of Autonomous Vehicles,2024,2024 IEEE 13th Data Driven Control and Learning Systems Conference (DDCLS),,survey
A Crowdsensing Service Pricing Method in Vehicular Edge Computing,2024,2024 IEEE International Symposium on Parallel and Distributed Processing with Applications (ISPA),10.1109/ISPA63168.2024.00019,exclude
A Deep Reinforcement Learning Algorithm for Dynamic EV Routing Problem*,2024,IECON 2024 - 50th Annual Conference of the IEEE Industrial Electronics Society,10.1109/IECON55916.2024.10905409,exclude
A Deep Reinforcement Learning Approach for Adaptive Traffic Routing in Next-Gen Networks,2024,ICC 2024 - IEEE International Conference on Communications,10.1109/ICC51166.2024.10622726,exclude
A Deep Reinforcement Learning Approach for Route Planning of Autonomous Vehicles*,2024,"IEEE International Conference on Systems, Man and Cybernetics",,include
A Deep Reinforcement Learning-Based Adaptive Search for Solving Time-Dependent Green Vehicle Routing Problem,2024,IEEE Access,10.1109/ACCESS.2024.3369474,exclude
A Dynamic Risk-aware Routing Recommendation Using Deep Reinforcement Learning,2024,"2024 IEEE International Conferences on Internet of Things (iThings) and IEEE Green Computing & Communications (GreenCom) and IEEE Cyber, Physical & Social Computing (CPSCom) and IEEE Smart Data (SmartData) and IEEE Congress on Cybermatics",10.1109/iThings-GreenCom-CPSCom-SmartData-Cybermatics62450.2024.00058,include
A Fast and Safe Self-Aware Filling Approach Using a New Adaptive Dormant Strategy for Fuel Cell Vehicles With Multitanks,2024,IEEE Transactions on Transportation Electrification,10.1109/TTE.2023.3335135,exclude
A Hierarchical Hybrid Learning Framework for Multi-Agent Trajectory Prediction,2024,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2024.3357479,exclude
A Hierarchical Multi-Vehicle Coordinated Motion Planning Method Based on Interactive Spatio-Temporal Corridors,2024,IEEE Transactions on Intelligent Vehicles,10.1109/TIV.2023.3280898,exclude
A Knowledge-Guided End-to-End Optimization Framework Based on Reinforcement Learning for Flow Shop Scheduling,2024,IEEE Transactions on Industrial Informatics,10.1109/TII.2023.3282313,exclude
A Mixed Generative Adversarial Imitation Learning Based Vehicle Path Planning Algorithm,2024,IEEE Access,10.1109/ACCESS.2024.3412109,borderline
